Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
500,Development_Membrane-bound ESR1: interaction with growth factors signaling,45,3.687E-01,8.133E-01,3.687E-01,8.133E-01,2,"ESR1 (membrane), ESR1 (nuclear)",
501,G-protein signaling_RhoB regulation pathway,16,3.706E-01,8.144E-01,3.706E-01,8.144E-01,1,RhoB,
502,"Mechanism of Pioglitazone/ Metformin and Rosiglitazone/ Metformin  cooperative action in Diabetes mellitus, Type 2",16,3.706E-01,8.144E-01,3.706E-01,8.144E-01,1,Adiponectin,
503,Apoptosis and survival_NGF/ TrkA PI3K-mediated signaling,77,3.769E-01,8.196E-01,3.769E-01,8.196E-01,3,"Tau (MAPT), Bcl-2, PREX1",
504,Immune response _CCR3 signaling in eosinophils,77,3.769E-01,8.196E-01,3.769E-01,8.196E-01,3,"Hck, p38 MAPK, MLCK",
505,Signal transduction_CXCR4 signaling via PI3K cascade,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"DEPTOR, PREX1",
506,L-Alanine and L-cysteine metabolism,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"AGT2, AGXT",
507,Cytoskeleton remodeling_Regulation of actin cytoskeleton nucleation and polymerization by Rho GTPases,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"RhoA-related, RhoB",
508,Regulation of GSK3 beta in bipolar disorder,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"PP2A regulatory, FGFR1",
509,EGFR signaling in Prostate Cancer,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"STAT3, Androgen receptor",
510,FGF signaling in pancreatic cancer,46,3.790E-01,8.196E-01,3.790E-01,8.196E-01,2,"FGF10, FGFR1",
511,Putative mechanism of drug action for CCR5 antagonists,17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,CCR5,
512,DeltaF508-CFTR traffic / ER-to-Golgi in CF,17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,EBP50,
513,LRRK2 in neuronal apoptosis in Parkinson's disease,17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,LRRK2,
514,Transition of Smoldering multiple myeloma to active multiple myeloma (schema),17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,Rb protein,
515,G-protein signaling_Rac3 regulation pathway,17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,Androgen receptor,
516,wtCFTR traffic / ER-to-Golgi (normal),17,3.886E-01,8.223E-01,3.886E-01,8.223E-01,1,EBP50,
517,Th9 cells in asthma,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"GATA-3, MHC class II",
518,Mitogenic action of ESR1 (membrane) in breast cancer,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"ESR1 (membrane), ESR1 (nuclear)",
519,Canonical Leptin pathways in breast cancer,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"STAT3, ESR1 (nuclear)",
520,Immune response_PGE2 common pathways,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"PGE2R3, Adenylate cyclase",
521,Transport_Alpha-2 adrenergic receptor regulation of ion channels,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"Adenylate cyclase type V, Alpha-2A adrenergic receptor",
522,Development_TGF-beta-dependent induction of EMT via MAPK ,47,3.892E-01,8.223E-01,3.892E-01,8.223E-01,2,"p38alpha (MAPK14), p38 MAPK",
523,Neuropeptide signaling in pancreatic cancer,48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"CCK8, GRP-R",
524,"Chemokines in inflammation in adipose tissue and liver in obesity, type 2 diabetes and metabolic syndrome X",48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"MHC class II, CCR5",
525,Neurophysiological process_ACM regulation of nerve impulse,48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"CACNA1H, CACNA1I",
526,Stimulation of TGF-beta signaling in lung cancer,48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"TITF1, p38alpha (MAPK14)",
527,Development_Role of Thyroid hormone in regulation of oligodendrocyte differentiation,48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"OLIG1, OATP-A",
528,Cell adhesion_Integrin-mediated cell adhesion and migration,48,3.993E-01,8.341E-01,3.993E-01,8.341E-01,2,"Collagen II, MLCK",
529,Rb proteins signaling in multiple myeloma,18,4.061E-01,8.376E-01,4.061E-01,8.376E-01,1,Rb protein,
530,Beta-adrenergic-dependent CFTR expression,18,4.061E-01,8.376E-01,4.061E-01,8.376E-01,1,Adenylate cyclase,
531,Androgen signaling in HCC,18,4.061E-01,8.376E-01,4.061E-01,8.376E-01,1,Androgen receptor,
532,Populations of skin dendritic cells involved in contact hypersensitivity,18,4.061E-01,8.376E-01,4.061E-01,8.376E-01,1,MHC class II,
533,Stem cells_CD30 signaling in transformed embryonic stem cells,18,4.061E-01,8.376E-01,4.061E-01,8.376E-01,1,SOX2,
534,Glucocorticoids-mediated inhibition of pro-constrictory and pro-inflammatory signaling in airway smooth muscle cells,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"PLA2, p38 MAPK",
535,Transcription_N-CoR/ SMRT complex-mediated epigenetic gene silencing,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"ETO, HOXB1",
536,Bacterial infections in CF airways,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"SP-A, SP-D",
537,IgE- and MGF-induced Fyn-mediated activation of lung mast cells in asthma,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"Hck, p38 MAPK",
538,Neurophysiological process_HTR2A signaling in the nervous system,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"GABA-A receptor gamma-2 subunit, SFK",
539,Signal transduction_Soluble CXCL16 signaling,49,4.093E-01,8.376E-01,4.093E-01,8.376E-01,2,"STAT3, p38 MAPK",
540,Epigenetic alterations in ovarian cancer,82,4.155E-01,8.387E-01,4.155E-01,8.387E-01,3,"Gamma-synuclein, ESR1 (nuclear), FGFR1",
541,Development_Negative regulation of WNT/Beta-catenin signaling in the cytoplasm,82,4.155E-01,8.387E-01,4.155E-01,8.387E-01,3,"CXXC4, YAP1/TAZ, YAP1 (YAp65)",
542,Development_Thromboxane A2 signaling pathway,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"p38 MAPK, Adenylate cyclase",
543,Neurophysiological process_Corticoliberin signaling via CRHR1 ,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"Keratin 1, Adenylate cyclase",
544,Transport_The role of AVP in regulation of Aquaporin 2 and renal water reabsorption,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"p38alpha (MAPK14), MLCK",
545,Modulation of tumor response to cytotoxic T cells by hypoxia in tumors,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"STAT3, Bcl-2",
546,Immune response_Inhibitory action of lipoxins on superoxide production induced by IL-8 and Leukotriene B4 in neutrophils,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"IL8RA, PREX1",
547,Angiogenesis in HCC,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"STAT3, Epo",
548,PDE4 regulation of cyto/chemokine expression in inflammatory skin diseases,50,4.193E-01,8.387E-01,4.193E-01,8.387E-01,2,"p38 MAPK, Adenylate cyclase",
549,Development_Alpha-1 adrenergic receptors signaling via Cyclic AMP,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,Adenylate cyclase,
550,Protein folding_Membrane trafficking and signal transduction of G-alpha (i) heterotrimeric G-protein,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,Adenylate cyclase type II,
551,HCV-mediated liver damage and predisposition to HCC progression via p53,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,Rb protein,
552,Cytoskeleton remodeling_Alpha-1A adrenergic receptor-dependent inhibition of PI3K,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,MLCK,
553,UMP biosynthesis,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,CPSM,
554,Immune response_ETV3 affect on CSF1-promoted macrophage differentiation,19,4.230E-01,8.387E-01,4.230E-01,8.387E-01,1,p38 MAPK,
555,Muscle contraction_GPCRs in the regulation of smooth muscle tone,83,4.231E-01,8.387E-01,4.231E-01,8.387E-01,3,"MaxiK alpha subunit, Adenylate cyclase, MLCK",
556,Tyrosine metabolism p.2 (melanin),83,4.231E-01,8.387E-01,4.231E-01,8.387E-01,3,"TAT, PERT, ABP1",
557,Immune response_Histamine signaling in dendritic cells,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"Histamine H3 receptor, Adenylate cyclase",
558,IL-6 signaling in multiple myeloma,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"STAT3, Rb protein",
559,Anti-apoptotic action of ErbB2 in breast cancer,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"STAT3, Bcl-2",
560,Epithelial cell anoikis in COPD,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"p38 MAPK, Bcl-2",
561,microRNA in Prostate Cancer,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"PDCD4, Bcl-2",
562,Putative pathways of n-3 and n-6 fatty acids in obesity and type 2 diabetes,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"Adiponectin, Adenylate cyclase",
563,Some pathways of EMT in cancer cells,51,4.292E-01,8.387E-01,4.292E-01,8.387E-01,2,"STAT3, Bcl-2",
564,Th2 cytokine- and TNF-alpha-induced profibrotic response in asthmatic airway fibroblasts/ myofibroblasts,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"IL13RA2, p38 MAPK",
565,Development_Endothelin-1/EDNRA signaling,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"p38alpha (MAPK14), Adenylate cyclase",
566,Immune response_Lysophosphatidic acid signaling via NF-kB,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"PEA15, p38 MAPK",
567,IGF signaling in HCC,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"IRS-4, Amphiregulin",
568,Stem cells_mGluR3 signaling in glioblastoma stem cells,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"SLC1A2/EAAT2, Adenylate cyclase",
569,Immune response_T cell subsets: cell surface markers,52,4.389E-01,8.387E-01,4.389E-01,8.387E-01,2,"CCR5, CCR8",
570,Development_Direct reprogramming of cardiac fibroblasts into cardiomyocytes,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,Islet-1,
571,Development_FGF2-dependent induction of EMT,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,FGFR1,
572,HBV mediates angiogenesis in HCC,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,STAT3,
573,Development_H3K36 demethylation in stem cell maintenance,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,Rb protein,
574,Mechanisms of hapten presentation to T cells in allergic contact dermatitis,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,MHC class II,
575,DNA damage_Inhibition of telomerase activity and cellular senescence,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,Rb protein,
576,Role of XBP1 protein in multiple myeloma,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,XBP1,
577,wtCFTR and deltaF508-CFTR traffic / Clathrin coated vesicles formation (normal and CF),20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,Myosin I,
578,Protein folding and maturation_Insulin processing,20,4.395E-01,8.387E-01,4.395E-01,8.387E-01,1,PC2,
579,Aryl hydrocarbon receptor signaling,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"TY3H, ESR1 (nuclear)",
580,Immune response_HMGB1/RAGE signaling pathway,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"p38 MAPK, MYOG",
581,Effect of H. pylori infection on apoptosis in gastric epithelial cells,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"MHC class II, Bcl-2",
582,Development_Role of growth factors in the maintenance of embryonic stem cell pluripotency,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"SOX2, FGFR1",
583,Notch signaling in breast cancer,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"ESR1 (nuclear), TFF1",
584,Immune response_Inhibitory PD-1 signaling in T cells,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"GATA-3, MHC class II",
585,Signal transduction_CXCR4 signaling via MAPKs cascades,53,4.486E-01,8.424E-01,4.486E-01,8.424E-01,2,"p38 MAPK, PREX1",
586,Role of prenatal nicotine exposure in inhibition of pancreatic beta cells differentiation and function,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,Kir6.2,
587,Development_Role of HGF in hematopoietic stem cell mobilization,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,G-CSF,
588,Nicotine signaling (general schema),21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,nAChR alpha-4,
589,Inflammatory response in ischemia-reperfusion injury during myocardial infarction,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,IL8RA,
590,Possible regulation of HSF-1/ chaperone pathway in Huntington's disease,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,PLA2,
591,Multiple sclerosis (general schema),21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,Transthyretin,
592,Inhibition of tumor suppressive pathways in pancreatic cancer,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,Rb protein,
593,Cell cycle_Cell cycle (generic schema),21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,Rb protein,
594,Gamma-secretase regulation of mammary cell development,21,4.555E-01,8.424E-01,4.555E-01,8.424E-01,1,MTG16 (CBFA2T3),
595,Development_FGFR signaling pathway,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"p38 MAPK, FGFR1",
596,Immune response_HSP60 and HSP70/ TLR signaling pathway,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"MHC class II, p38 MAPK",
597,Membrane-bound ESR1: interaction with G-proteins signaling,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"ESR1 (membrane), Adenylate cyclase",
598,Role of IL-23/ T17 pathogenic axis in psoriasis,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"STAT3, MHC class II",
599,Impaired inhibitory action of lipoxins on ROS production in neutrophils in CF,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"IL8RA, PREX1",
600,Growth factors in regulation of oligodendrocyte precursor cells proliferation in multiple sclerosis,54,4.582E-01,8.424E-01,4.582E-01,8.424E-01,2,"KV1.6, FGFR1",
601,PGE2 pathways in cancer,55,4.677E-01,8.476E-01,4.677E-01,8.476E-01,2,"Amphiregulin, Adenylate cyclase",
602,Development_WNT/Beta-catenin signaling in the cytoplasm,55,4.677E-01,8.476E-01,4.677E-01,8.476E-01,2,"p38alpha (MAPK14), Hck",
603,"Immune response_T cell co-signaling receptors, schema",55,4.677E-01,8.476E-01,4.677E-01,8.476E-01,2,"MHC class II, Collagen II",
604,Expression targets of Tissue factor signaling in cancer,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,Coagulation factor VII,
605,PXR signaling via cross-talk / Rodent version,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,PXR,
606,Differences between Langerhans cells and dermal dendritic cells in allergic contact dermatitis,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,MHC class II,
607,Inhibition of GSK3 beta by lithium in major depressive disorder,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,Bcl-2,
608,Immune response_Oncostatin M signaling via JAK-Stat,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,STAT3,
609,PXR signaling via cross-talk / Human Version,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,PXR,
610,Cell cycle_Role of 14-3-3 proteins in cell cycle regulation,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,p38 MAPK,
611,Development_Mu-type opioid receptor signaling via Beta-arrestin,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,STAT3,
612,Origin of Langerhans cells in the steady-state and under inflammatory conditions,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,CXCL14,
613,Inhibition of RUNX3 signaling in gastric cancer,22,4.710E-01,8.476E-01,4.710E-01,8.476E-01,1,Bcl-2,
614,Platelet activation as a result of endothelial dysfunction after stenting,56,4.771E-01,8.530E-01,4.771E-01,8.530E-01,2,"Adenylate cyclase, Glycoprotein VI",
615,Regulation of Beta-catenin activity in colorectal cancer,56,4.771E-01,8.530E-01,4.771E-01,8.530E-01,2,"PDCD4, Adenylate cyclase",
616,Airway smooth muscle contraction in asthma,56,4.771E-01,8.530E-01,4.771E-01,8.530E-01,2,"Adenylate cyclase, MLCK",
617,Nicotine metabolism in liver,56,4.771E-01,8.530E-01,4.771E-01,8.530E-01,2,"CYP2A6, UGT2B10",
618,Interconnectivity between Folic acid and Fluorouracil pathways in gastric cancer,91,4.828E-01,8.557E-01,4.828E-01,8.557E-01,3,"ABCC11, SLC22A8, CYP2A6",
619,Putative roles of SETDB1 and PLU-1 in melanoma,23,4.861E-01,8.557E-01,4.861E-01,8.557E-01,1,Rb protein,
620,Role of alpha-V/ beta-6 integrin in colorectal cancer,23,4.861E-01,8.557E-01,4.861E-01,8.557E-01,1,Bcl-2,
621,KLF6 and regulation of KLF6 alternative splicing in HCC,23,4.861E-01,8.557E-01,4.861E-01,8.557E-01,1,Rb protein,
622,Apoptosis and survival_NO signaling in apoptosis,23,4.861E-01,8.557E-01,4.861E-01,8.557E-01,1,p38 MAPK,
623,Role of IL-17-producing T cells in allergic contact dermatitis,23,4.861E-01,8.557E-01,4.861E-01,8.557E-01,1,MHC class II,
624,Development_Cytokine-mediated regulation of megakaryopoiesis,57,4.864E-01,8.557E-01,4.864E-01,8.557E-01,2,"STAT3, FLT3",
625,MicroRNAs in melanoma,57,4.864E-01,8.557E-01,4.864E-01,8.557E-01,2,"MaxiK alpha subunit, ZNF145",
626,Regulation of intrinsic membrane properties and excitability of striatopallidal medium spiny neurons in Huntington's disease,57,4.864E-01,8.557E-01,4.864E-01,8.557E-01,2,"MaxiK alpha subunit, CACNA1D",
627,Lysophospholipid mediators-induced inflammatory signaling in normal and asthmatic airway epithelium,57,4.864E-01,8.557E-01,4.864E-01,8.557E-01,2,"IL13RA2, p38 MAPK",
628,Immune response_IL-15 signaling,58,4.956E-01,8.658E-01,4.956E-01,8.658E-01,2,"p38 MAPK, Bcl-2",
629,"Immune response_TLR5, TLR7, TLR8 and TLR9 signaling pathways",58,4.956E-01,8.658E-01,4.956E-01,8.658E-01,2,"STAT3, p38 MAPK",
630,NMDA-independent presynaptic long-term potentiation in Huntington's disease,58,4.956E-01,8.658E-01,4.956E-01,8.658E-01,2,"GluR5, GluR7",
631,Dual role of TGF-beta 1 in HCC ,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,Bcl-2,
632,Hedgehog signaling in breast cancer,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,Rb protein,
633,Tissue factor signaling in lung cancer,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,Coagulation factor VII,
634,Mitochondrial ketone bodies biosynthesis and metabolism,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,HMGCS2,
635,Proteolysis_Role of Parkin in the Ubiquitin-Proteasomal Pathway,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,Tubulin alpha,
636,Apoptosis and survival_NO signaling in survival,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,p38 MAPK,
637,Immune response_IL-27 signaling pathway,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,STAT3,
638,Huntingtin-depended transcription deregulation in Huntington's Disease,24,5.008E-01,8.658E-01,5.008E-01,8.658E-01,1,C/EBPalpha,
639,Immune response_IFN-alpha/beta signaling via PI3K and NF-kB pathways,94,5.044E-01,8.661E-01,5.044E-01,8.661E-01,3,"STAT3, Rb protein, PDCD4",
640,Oxidative stress_Activation of NADPH oxidase,59,5.047E-01,8.661E-01,5.047E-01,8.661E-01,2,"p38 MAPK, PREX1",
641,Inhibition of apoptosis in pancreatic cancer,59,5.047E-01,8.661E-01,5.047E-01,8.661E-01,2,"STAT3, Bcl-2",
642,Cigarette smoke-induced oxidative stress and apoptosis in airway epithelial cells,60,5.137E-01,8.661E-01,5.137E-01,8.661E-01,2,"p38 MAPK, Bcl-2",
643,Apoptosis and survival_TNF-alpha-induced ROS-dependent Caspase-3 signaling,60,5.137E-01,8.661E-01,5.137E-01,8.661E-01,2,"p38alpha (MAPK14), Bcl-2",
644,Development_Regulation of endothelial progenitor cell differentiation from adult stem cells,60,5.137E-01,8.661E-01,5.137E-01,8.661E-01,2,"G-CSF, Epo",
645,Immune escape mechanisms in Prostate Cancer,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,CCL17,
646,Putative pathways of activation of monoclonal protein secretion in multiple myeloma,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,XBP1,
647,IGF-1 receptor/EGFR cooperation in lung cancer,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,Amphiregulin,
648,Immune response_LPS-induced platelet activation,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,Glycoprotein VI,
649,Role of keratinocytes and Langerhans cells in skin sensitization,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,MHC class II,
650,Generation of cytotoxic CD8+ T cells in COPD,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,MHC class II,
651,G-protein signaling_K-RAS regulation pathway,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,Epo,
652,Immune response_T cell subsets: secreted signals,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,Amphiregulin,
653,HSP70 and HSP40-dependent folding in Huntington's disease,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,HSP22,
654,T cell generation in COPD,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,MHC class II,
655,Dual role of BMP signaling in gastric cancer,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,Mucin 2,
656,Inhibition of TGF-beta signaling in gastric cancer,25,5.151E-01,8.661E-01,5.151E-01,8.661E-01,1,CEACAM5,
657,n-6 Polyunsaturated fatty acid biosynthesis,61,5.226E-01,8.706E-01,5.226E-01,8.706E-01,2,"ELOVL2, ACOX2",
658,Hedgehog signaling in prostate cancer,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,Bcl-2,
659,Neurophysiological process_GABA-B receptor signaling at postsynaptic sides of synapses,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,Kir3.1,
660,CREB1-dependent transcription deregulation in Huntington's Disease,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,Bcl-2,
661,Neurophysiological process_Dopamine D2 receptor transactivation of PDGFR in CNS,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,PP2A regulatory,
662,CAR signaling via cross-talk / Human Version,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,ESR1 (nuclear),
663,"SREBP1 cross-talk with PXR, CAR and LXR",26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,PXR,
664,CD8+ Tc1 cells in allergic contact dermatitis,26,5.289E-01,8.706E-01,5.289E-01,8.706E-01,1,MHC class II,
665,Glucocorticoid-induced elevation of intraocular pressure as glaucoma risk factor,62,5.313E-01,8.706E-01,5.313E-01,8.706E-01,2,"MLCK, FGFR1",
666,Development_Gastrin in cell growth and proliferation,62,5.313E-01,8.706E-01,5.313E-01,8.706E-01,2,"STAT3, p38alpha (MAPK14)",
667,Immune response_IL-18 signaling,63,5.400E-01,8.706E-01,5.400E-01,8.706E-01,2,"p38 MAPK, Bcl-2",
668,Transcription_PPAR Pathway,63,5.400E-01,8.706E-01,5.400E-01,8.706E-01,2,"p38alpha (MAPK14), p38 MAPK",
669,Degranulation of lung mast cells,63,5.400E-01,8.706E-01,5.400E-01,8.706E-01,2,"Tryptase, PGE2R3",
670,n-3 Polyunsaturated fatty acid biosynthesis,63,5.400E-01,8.706E-01,5.400E-01,8.706E-01,2,"ELOVL2, ACOX2",
671,G-protein signaling_G-Protein alpha-i signaling cascades,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,STAT3,
672,Development_Generation of pancreatic beta-cells from induced pluripotent stem cells,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,SOX2,
673,"N-Acylethanolamines, HSRL5-transacylation pathway",27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,HRSL5,
674,Inhibition of TGF-beta 1 signaling in early colorectal cancer,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,CEACAM5,
675,HCV-dependent cytoplasmic signaling leading to HCC,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,p38 MAPK,
676,Desensitization of Beta-2 adrenergic receptor signaling and reduction of relaxation,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,PGE2R3,
677,CAR signaling via cross-talk / Rodent version,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,ESR1 (nuclear),
678,Regulation of VEGF signaling in pancreatic cancer,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,STAT3,
679,Histamine metabolism,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,ABP1,
680,Neurophysiological process_GABA-A receptor life cycle,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,GABA-A receptor gamma-2 subunit,
681,Regulatory T cells in murine model of contact hypersensitivity,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,MHC class II,
682,Triacylglycerol metabolism p.2,27,5.424E-01,8.706E-01,5.424E-01,8.706E-01,1,LIPG,
683,Main chemotherapy drugs and their action in SCLC cells,100,5.463E-01,8.706E-01,5.463E-01,8.706E-01,3,"p38alpha (MAPK14), p38 MAPK, Bcl-2",
684,Development_Regulation of epithelial-to-mesenchymal transition (EMT),64,5.485E-01,8.706E-01,5.485E-01,8.706E-01,2,"FGFR1, Bcl-2",
685,Immune response_IFN-alpha/beta signaling via JAK/STAT,64,5.485E-01,8.706E-01,5.485E-01,8.706E-01,2,"STAT3, Bcl-2",
686,Folic acid metabolism,64,5.485E-01,8.706E-01,5.485E-01,8.706E-01,2,"FR-beta, FTDH",
687,Neurophysiological process_GABA-B receptor signaling in presynaptic nerve terminals,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,Adenylate cyclase type V,
688,Cell cycle_Regulation of G1/S transition (part 2),28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,Rb protein,
689,Mitogenic action of Estradiol / ESR1 (nuclear) in breast cancer,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,ESR1 (nuclear),
690,Development_Regulation of CDK5 in CNS,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,Adenylate cyclase type V,
691,DNA damage_ATM / ATR regulation of G2 / M checkpoint,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,p38alpha (MAPK14),
692,Development_Role of CNTF and LIF in regulation of oligodendrocyte development,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,STAT3,
693,Tumor-stroma interactions in pancreatic cancer,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,FGFR1,
694,Release of pro-inflammatory mediators and elastolytic enzymes by alveolar macrophages in COPD,28,5.555E-01,8.706E-01,5.555E-01,8.706E-01,1,p38 MAPK,
