Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
952,Regulation of Adenylate cyclase and IMPA1 by lithium in major depressive disorder,22,3.227E-01,4.759E-01,3.227E-01,4.759E-01,3,"G-protein alpha-i1, G-protein alpha-i family, Adenylate cyclase",
953,T regulatory cell migration in asthma,22,3.227E-01,4.759E-01,3.227E-01,4.759E-01,3,"G-protein alpha-i family, AKT(PKB), PI3K reg class IB (p101)",
954,LRRK2 and immune function in Parkinson's disease,22,3.227E-01,4.759E-01,3.227E-01,4.759E-01,3,"MHC class II, IFN-beta, TNF-alpha",
955,Neurophysiological process_NMDA-dependent postsynaptic long-term potentiation in CA1 hippocampal neurons,82,3.269E-01,4.817E-01,3.269E-01,4.817E-01,9,"B-Raf, Adenylate cyclase type VIII, PKC-alpha, NR2, GluR1, RASGRF1, AKT(PKB), c-Src, NR2A",
956,Development_Transcription regulation of granulocyte development,32,3.307E-01,4.867E-01,3.307E-01,4.867E-01,4,"PKC, STAT5, c-Fes, CD13",
957,Development_WNT/Beta-catenin signaling in the nucleus,62,3.317E-01,4.876E-01,3.317E-01,4.876E-01,7,"Tcf(Lef), RUNX, WNT, MEF2, TLE, TCF7 (TCF1), Frizzled",
958,Role of TNF-alpha in type 2 diabetes in skeletal muscle cells,42,3.331E-01,4.877E-01,3.331E-01,4.877E-01,5,"HGK(MAP4K4), PKC-theta, PKC-alpha, PPARGC1 (PGC1-alpha), TNF-alpha",
959,Immune response_PIP3 signaling in B lymphocytes,42,3.331E-01,4.877E-01,3.331E-01,4.877E-01,5,"Syk, PI3K cat class IA, Lyn, AKT(PKB), PI3K reg class IB (p101)",
960,Estradiol metabolism,42,3.331E-01,4.877E-01,3.331E-01,4.877E-01,5,"UGT1A1, CYP1A1, UGT1A10, UGT2B7, UGT1A4",
961,Chylomicron dyslipidemia in type 2 diabetes and metabolic syndrome X,42,3.331E-01,4.877E-01,3.331E-01,4.877E-01,5,"APOA4, MTP, APOC2, CETP, LPL",
962,Apoptosis and survival_CXCR3-B signaling,63,3.469E-01,5.073E-01,3.469E-01,5.073E-01,7,"IP10, IDO2, I-TAC, ITGB3, Adenylate cyclase, PF4, PF4V1",
963,Cytoskeleton remodeling_CDC42 in cellular processes,23,3.485E-01,5.091E-01,3.485E-01,5.091E-01,3,"F-Actin cytoskeleton, Actin cytoskeletal, Cofilin",
964,Apoptosis and survival_Anti-apoptotic action of Gastrin,43,3.517E-01,5.112E-01,3.517E-01,5.112E-01,5,"PI3K cat class IA, PKC-alpha, AKT(PKB), G-protein alpha-q/11, c-Src",
965,Development_WNT/Beta-catenin signaling pathway. Signalosome,43,3.517E-01,5.112E-01,3.517E-01,5.112E-01,5,"WNT, G-protein alpha-i family, DAAM2, Axin, Frizzled",
966,Development_Notch Signaling Pathway,43,3.517E-01,5.112E-01,3.517E-01,5.112E-01,5,"p63, HEY1, Manic fringe glycosyltransferase, TLE, Jagged1",
967,IL-2 as a growth factor for T cells in multiple sclerosis,33,3.520E-01,5.112E-01,3.520E-01,5.112E-01,4,"STAT5A, PI3K cat class IA, Cyclin E, AKT(PKB)",
968,Nicotine signaling in glutamatergic neurons,33,3.520E-01,5.112E-01,3.520E-01,5.112E-01,4,"PKC-alpha, P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family, mGluR7",
969,Signal transduction_Activin A signaling regulation,33,3.520E-01,5.112E-01,3.520E-01,5.112E-01,4,"Activin A, DLX1, MECOM, FKHL1",
970,Neurophysiological process_Activity-dependent synaptic AMPA receptor removal,64,3.621E-01,5.253E-01,3.621E-01,5.253E-01,7,"cPKC (conventional), MAP-1B, PKC, PKC-alpha, NPTX2, GluR1, Actin cytoskeletal",
971,Immune response  _Sialic-acid receptors (Siglecs) signaling,14,3.677E-01,5.322E-01,3.677E-01,5.322E-01,2,"CD43, Lyn",
972,Cell cycle_Nucleocytoplasmic transport of CDK/Cyclins,14,3.677E-01,5.322E-01,3.677E-01,5.322E-01,2,"Cyclin E, Cyclin A",
973,Development_Flt3 signaling,44,3.704E-01,5.350E-01,3.704E-01,5.350E-01,5,"STAT5A, PI3K cat class IA, Fyn, AKT(PKB), c-Src",
974,Chemotaxis_C5a-induced chemotaxis,44,3.704E-01,5.350E-01,3.704E-01,5.350E-01,5,"G-protein alpha-15, B-Raf, G-protein alpha-i family, F-Actin cytoskeleton, Actin cytoskeletal",
975,Development_HGF-dependent inhibition of TGF-beta-induced EMT,34,3.734E-01,5.366E-01,3.734E-01,5.366E-01,4,"HGF, COX-2 (PTGS2), TGF-beta receptor type II, HGF receptor (Met)",
976,Immune response_IL-11 signaling via JAK/STAT,34,3.734E-01,5.366E-01,3.734E-01,5.366E-01,4,"RANKL(TNFSF11), A2M, REG3G, Pim-1",
977,Cannabinoid receptor signaling in nicotine addiction,34,3.734E-01,5.366E-01,3.734E-01,5.366E-01,4,"nAChR alpha-7, G-protein alpha-i1, P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family",
978,Transport_Low density lipoproteins assembly and remodeling,34,3.734E-01,5.366E-01,3.734E-01,5.366E-01,4,"MTP, APOC2, CETP, LPL",
979,G-protein signaling_G-Protein alpha-q signaling cascades,34,3.734E-01,5.366E-01,3.734E-01,5.366E-01,4,"PI3K cat class IA, AKT(PKB), G-protein alpha-q/11, RGS2",
980,Tissue factor signaling in lung cancer,24,3.742E-01,5.366E-01,3.742E-01,5.366E-01,3,"PAR1, AKT(PKB), Tissue factor",
981,Development_MicroRNA-dependent regulation of EMT,24,3.742E-01,5.366E-01,3.742E-01,5.366E-01,3,"TGF-beta 2, SIP1 (ZFHX1B), TCF8",
982,Possible role of neonatal nicotine exposure in development of postnatal obesity,5,3.789E-01,5.429E-01,3.789E-01,5.429E-01,1,nAChR beta-2,
983,Nicotine signaling in chromaffin cells,45,3.890E-01,5.551E-01,3.890E-01,5.551E-01,5,"N-cadherin, Adenylate cyclase type VIII, PKC-alpha, nAChR alpha-3, DBH",
984,Apo-2L(TNFSF10)-induced apoptosis in melanoma,45,3.890E-01,5.551E-01,3.890E-01,5.551E-01,5,"IFN-alpha, IL-8, Apo-2L(TNFSF10), IFN-beta, XAF1",
985,Development_Activation of ERK by Alpha-1 adrenergic receptors,45,3.890E-01,5.551E-01,3.890E-01,5.551E-01,5,"G-protein alpha-15, PKC-alpha, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, c-Src",
986,Development_Membrane-bound ESR1: interaction with growth factors signaling,45,3.890E-01,5.551E-01,3.890E-01,5.551E-01,5,"PI3K cat class IA, B-Raf, AKT(PKB), Caveolin-1, c-Src",
987,Immune response_T regulatory cell-mediated modulation of antigen-presenting cell functions,66,3.928E-01,5.599E-01,3.928E-01,5.599E-01,7,"3HAO, IDO1, MHC class II, ICAM1, CTLA-4, 5'-NTD, TNF-alpha",
988,TNF-alpha and IL-1 beta induce hyperglycemia in obesity and type 2 diabetes in adipocytes,35,3.947E-01,5.599E-01,3.947E-01,5.599E-01,4,"IL-1 beta, TNF-R2, NGAL, TNF-alpha",
989,Transcription_Role of the non-genomic action of Retinoic acid and phosphorylation of Retinoic acid receptors in the initiation of transcription,35,3.947E-01,5.599E-01,3.947E-01,5.599E-01,4,"RBP4, CYP26A1, STRA6, c-Src",
990,Oxidative stress_NOX and DUOX families of NADPH oxidases ,35,3.947E-01,5.599E-01,3.947E-01,5.599E-01,4,"DUOXA2, DUOX2, Rac2, DUOXA1",
991,Beta-alanine metabolism,35,3.947E-01,5.599E-01,3.947E-01,5.599E-01,4,"GAD2, DPYD, DPYS, GAD1",
992,Immune response_Lipoxins and Resolvin E1 inhibitory action on neutrophil functions,35,3.947E-01,5.599E-01,3.947E-01,5.599E-01,4,"FPRL1, IL-8, G-protein alpha-i family, PI3K reg class IB (p101)",
993,Putative pathways of activation of monoclonal protein secretion in multiple myeloma,25,3.997E-01,5.663E-01,3.997E-01,5.663E-01,3,"PAX5, BOB1, BLIMP1 (PRDI-BF1)",
994,Development_G-protein-mediated regulation of MAPK-ERK signaling,46,4.076E-01,5.764E-01,4.076E-01,5.764E-01,5,"B-Raf, G-protein alpha-i family, M-Ras, G-protein alpha-q/11, c-Src",
995,Transcription_Hypoxia- and receptor-mediated HIF-1 activation,46,4.076E-01,5.764E-01,4.076E-01,5.764E-01,5,"HGF, IL-1 beta, PI3K cat class IA, EGFR, AKT(PKB)",
996,Statin action on the PI3K/ Akt pathway in COPD,36,4.159E-01,5.858E-01,4.159E-01,5.858E-01,4,"PI3K cat class IA, FasL(TNFSF6), Apo-2L(TNFSF10), AKT(PKB)",
997,Nitrogen metabolism,36,4.159E-01,5.858E-01,4.159E-01,5.858E-01,4,"Carbonic anhydrase VI, GLSK, Carbonic anhydrase II, Carbonic anhydrase IX",
998,Endothelial cell apoptosis in COPD,36,4.159E-01,5.858E-01,4.159E-01,5.858E-01,4,"PI3K cat class IA, Neuropilin-1, BFL1, AKT(PKB)",
999,G-protein signaling_Regulation of RAC1 activity,36,4.159E-01,5.858E-01,4.159E-01,5.858E-01,4,"ARCGAP22, ZAP70, CD3, Caspase-1",
1000,Cytoskeleton remodeling_FAK signaling,57,4.167E-01,5.862E-01,4.167E-01,5.862E-01,6,"PI3K cat class IA, GRP(1-27), AKT(PKB), G-protein alpha-q/11, Fibronectin, c-Src",
1001,Production of reactive oxygen species and arachidonic acid metabolites by neutrophils in asthma,68,4.234E-01,5.946E-01,4.234E-01,5.946E-01,7,"PI3K cat class IA, PKC, IL-8, G-protein alpha-i family, GM-CSF, PA24A, TNF-alpha",
1002,Lipoprotein metabolism,68,4.234E-01,5.946E-01,4.234E-01,5.946E-01,7,"APOA4, APOA2, VLDLR, MTP, APOC2, CETP, LPL",
1003,Development_PIP3 signaling in cardiac myocytes,47,4.261E-01,5.960E-01,4.261E-01,5.960E-01,5,"HGF, PI3K cat class IA, AKT(PKB), HGF receptor (Met), PI3K reg class IB (p101)",
1004,Canonical Notch signaling pathway in colorectal cancer,47,4.261E-01,5.960E-01,4.261E-01,5.960E-01,5,"HES5, CD44, WNT, AKT(PKB), Jagged1",
1005,Immune response_PGE2 common pathways,47,4.261E-01,5.960E-01,4.261E-01,5.960E-01,5,"COX-2 (PTGS2), PGE2R2, G-protein alpha-i family, Adenylate cyclase, AKT(PKB)",
1006,Neurophysiological process_Dopamine D2 receptor signaling in CNS,47,4.261E-01,5.960E-01,4.261E-01,5.960E-01,5,"Adenylate cyclase type VIII, Kir3.4, G-protein alpha-i family, CACNA1E, Adenylate cyclase type VII",
1007,Effect of H. pylori infection on gastric epithelial cell proliferation,58,4.333E-01,6.055E-01,4.333E-01,6.055E-01,6,"B-Raf, Lyn, EGFR, TLR4, HGF receptor (Met), c-Src",
1008,Sorafenib-induced inhibition of cell proliferation and angiogenesis in HCC,16,4.339E-01,6.056E-01,4.339E-01,6.056E-01,2,"B-Raf, PDGF-R-beta",
1009,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,4.353E-01,6.071E-01,4.353E-01,6.071E-01,1,Oct-3/4,
1010,Cholehepatic circulation of bile acids / Rodent version,37,4.369E-01,6.087E-01,4.369E-01,6.087E-01,4,"OATP8, AKR1C1, BSEP, GSTA5",
1011,"Nicotine signaling in dopaminergic neurons, Pt. 1 - cell body",48,4.446E-01,6.181E-01,4.446E-01,6.181E-01,5,"nAChR alpha-7, GABA-A receptor, G-protein alpha-i family, nAChR beta-2, nAChR alpha-6",
1012,Development_Adiponectin signaling,48,4.446E-01,6.181E-01,4.446E-01,6.181E-01,5,"PI3K cat class IA, IL-6, FGF2, AKT(PKB), c-Src",
1013,Glomerular filtration and renal reabsorption of bile acids / Rodent version,27,4.496E-01,6.239E-01,4.496E-01,6.239E-01,3,"OATP8, AKR1C1, GSTA5",
1014,Apoptosis and survival_Anti-apoptotic TNFs/NF-kB/IAP pathway,27,4.496E-01,6.239E-01,4.496E-01,6.239E-01,3,"TNF-R2, c-IAP2, TNF-alpha",
1015,Apoptosis and survival_Anti-apoptotic action of membrane-bound ESR1,38,4.577E-01,6.339E-01,4.577E-01,6.339E-01,4,"PI3K cat class IA, PKC-alpha, AKT(PKB), c-Src",
1016,Development_SDF-1 signaling in hematopoietic stem cell homing,38,4.577E-01,6.339E-01,4.577E-01,6.339E-01,4,"PI3K cat class IA, alpha-4/beta-1 integrin, Lyn, MMP-9",
1017,"Development_The role of GDNF ligand family/ RET receptor in cell survival, growth and proliferation",92,4.597E-01,6.359E-01,4.597E-01,6.359E-01,9,"ITGB1, PI3K cat class IA, NRTN, B-Raf, MLC2, F-Actin cytoskeleton, AKT(PKB), c-Src, Cofilin",
1018,IgE- and MGF-induced Fyn-mediated activation of lung mast cells in asthma,49,4.628E-01,6.390E-01,4.628E-01,6.390E-01,5,"Syk, S1P1 receptor, Lyn, Fyn, AKT(PKB)",
1019,Transcription_CREB signaling pathway,49,4.628E-01,6.390E-01,4.628E-01,6.390E-01,5,"cPKC (conventional), PI3K cat class IA, Galpha(s)-specific amine GPCRs, PKC-alpha, AKT(PKB)",
1020,G-protein signaling_Rap2A regulation pathway,17,4.655E-01,6.422E-01,4.655E-01,6.422E-01,2,"G-protein alpha-i family, M-Ras",
1021,Triacylglycerol metabolism p.1,60,4.664E-01,6.427E-01,4.664E-01,6.427E-01,6,"ACSL6, ACSL4, ALDR, AKR1C1, AK1BA, PLCD",
1022,Regulation of lipid metabolism_Alpha-1 adrenergic receptors signaling via arachidonic acid,71,4.691E-01,6.458E-01,4.691E-01,6.458E-01,7,"COX-2 (PTGS2), PTGIS, PKC-alpha, cPLA2, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, c-Src",
1023,Development_Regulation of CDK5 in CNS,28,4.740E-01,6.507E-01,4.740E-01,6.507E-01,3,"NGF, TrkA, TrkB",
1024,Development_Mu-type opioid receptor regulation of proliferation,28,4.740E-01,6.507E-01,4.740E-01,6.507E-01,3,"ADAM12, EGFR, G-protein alpha-i family",
1025,Development_Delta-type opioid receptor signaling via G-protein alpha-14,28,4.740E-01,6.507E-01,4.740E-01,6.507E-01,3,"Metenkefalin, PKC-alpha, c-Src",
1026,Regulation of degradation of deltaF508-CFTR in CF,39,4.783E-01,6.546E-01,4.783E-01,6.546E-01,4,"Alpha crystallin A, UCHL1, BAG-2, Dynein 1, cytoplasmic, intermediate chains",
1027,HIV-1 signaling via CCR5 in macrophages and T lymphocytes,39,4.783E-01,6.546E-01,4.783E-01,6.546E-01,4,"CCL2, PKC-alpha, FasL(TNFSF6), TNF-alpha",
1028,Translation _Regulation of EIF2 activity,39,4.783E-01,6.546E-01,4.783E-01,6.546E-01,4,"PI3K cat class IA, IRS-2, EGFR, AKT(PKB)",
1029,Neurophysiological process_Corticoliberin signaling via CRHR1 ,50,4.809E-01,6.556E-01,4.809E-01,6.556E-01,5,"cPKC (conventional), B-Raf, PKC-alpha, Adenylate cyclase, G-protein alpha-q/11",
1030,TGF-beta signaling via microRNA in breast cancer,50,4.809E-01,6.556E-01,4.809E-01,6.556E-01,5,"TGF-beta 2, ETS1, SLUG, SIP1 (ZFHX1B), TCF8",
1031,Apoptosis and survival_HTR1A signaling,50,4.809E-01,6.556E-01,4.809E-01,6.556E-01,5,"G-protein alpha-i family, Adenylate cyclase, AKT(PKB), PI3K reg class IB (p101), c-Src",
1032,Immune response_IL-13 signaling via PI3K-ERK pathway,50,4.809E-01,6.556E-01,4.809E-01,6.556E-01,5,"IRS-2, Tenascin-C, COL1A2, AKT(PKB), PI3K cat class IA (p110-delta)",
1033,Role of epigenetic alterations in proliferation and differentiation of SCLC cells,72,4.841E-01,6.594E-01,4.841E-01,6.594E-01,7,"MYO18B, HAND1, NeuroD1, Caveolin-1, DMRTA2, HNF3-beta, CDK6",
1034,Immune response_IL-4 signaling pathway,94,4.860E-01,6.609E-01,4.860E-01,6.609E-01,9,"Syk, PKC, IRS-2, STAT5, c-Fes, AKT(PKB), PDE3A, PDE4, PI3K cat class IA (p110-delta)",
1035,G-protein signaling_Rap2B regulation pathway,7,4.867E-01,6.609E-01,4.867E-01,6.609E-01,1,M-Ras,
1036,Regulatory T cells in human allergic contact dermatitis,7,4.867E-01,6.609E-01,4.867E-01,6.609E-01,1,MHC class II,
1037,Transcription_Assembly of RNA Polymerase II preinitiation complex on TATA-less promoters ,18,4.961E-01,6.725E-01,4.961E-01,6.725E-01,2,"p15, MDR1",
1038,Androgen signaling in HCC,18,4.961E-01,6.725E-01,4.961E-01,6.725E-01,2,"HGF, HGF receptor (Met)",
1039,Adiponectin in pathogenesis of type 2 diabetes,29,4.979E-01,6.732E-01,4.979E-01,6.732E-01,3,"PPCKC, H-FABP, PPARGC1 (PGC1-alpha)",
1040,Enterohepatic circulation of bile acids / Rodent version,40,4.985E-01,6.732E-01,4.985E-01,6.732E-01,4,"OATP8, AKR1C1, BSEP, GSTA5",
1041,Cortisone biosynthesis and metabolism,51,4.988E-01,6.732E-01,4.988E-01,6.732E-01,5,"AKR1C3, CYP17, CYP21A2, AKR1C2, HSD11B1",
1042,Putative pathways of n-3 and n-6 fatty acids in obesity and type 2 diabetes,51,4.988E-01,6.732E-01,4.988E-01,6.732E-01,5,"COX-2 (PTGS2), PTGIS, Adenylate cyclase, AKT(PKB), G-protein alpha-q/11",
1043,Reproduction_Gonadotropin-releasing hormone (GnRH) signaling,73,4.990E-01,6.732E-01,4.990E-01,6.732E-01,7,"Secretogranin 1, PACAP, Adenylate cyclase, CaMK I, G-protein alpha-q/11, c-Src, Secretogranin II",
1044,O-glycan biosynthesis,63,5.149E-01,6.940E-01,5.149E-01,6.940E-01,6,"GALNTL2, GALNT9, B3GT2, B3GT1, SIAT4B, GCNT3",
1045,Main growth factor signaling cascades in multiple myeloma cells,41,5.184E-01,6.973E-01,5.184E-01,6.973E-01,4,"PI3K cat class IA, IRS-2, FGF2, AKT(PKB)",
1046,Apoptosis and survival_Phosphorylation and acetylation in TNF-alpha-induced NF-kB signaling,41,5.184E-01,6.973E-01,5.184E-01,6.973E-01,4,"PI3K cat class IA, PKC-alpha, c-Src, TNF-alpha",
1047,Role of histone modificators in progression of multiple myeloma,30,5.212E-01,6.977E-01,5.212E-01,6.977E-01,3,"IL-6, Dynein 1, cytoplasmic, intermediate chains, CDK6",
1048,Development_G-CSF-induced myeloid differentiation,30,5.212E-01,6.977E-01,5.212E-01,6.977E-01,3,"ITGB2, NGAL, GFI-1",
1049,Inhibition of mast cell functions by Fc gamma RII beta in asthma,30,5.212E-01,6.977E-01,5.212E-01,6.977E-01,3,"Syk, Lyn, AKT(PKB)",
1050,Neurophysiological process_Mu-type opioid receptor-mediated analgesia,30,5.212E-01,6.977E-01,5.212E-01,6.977E-01,3,"P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family, Adenylate cyclase type VII",
1051,Transcription_Ligand-dependent activation of the ESR1/SP pathway,30,5.212E-01,6.977E-01,5.212E-01,6.977E-01,3,"Cyclin E, EGFR, ADA",
1052,Development_Alpha-1 adrenergic receptors signaling via Cyclic AMP,19,5.256E-01,7.009E-01,5.256E-01,7.009E-01,2,"Adenylate cyclase, Alpha-1B adrenergic receptor",
1053,Protein folding_Membrane trafficking and signal transduction of G-alpha (i) heterotrimeric G-protein,19,5.256E-01,7.009E-01,5.256E-01,7.009E-01,2,"G-protein gamma, G-protein alpha-i family",
1054,Immune response_ETV3 affect on CSF1-promoted macrophage differentiation,19,5.256E-01,7.009E-01,5.256E-01,7.009E-01,2,"CSF1, PLAU (UPA)",
1055,Inhibition of WNT5A-dependent non-canonical pathway in colorectal cancer,19,5.256E-01,7.009E-01,5.256E-01,7.009E-01,2,"PKC-alpha, TCF7 (TCF1)",
1056,"Development_NCAM1-mediated neurite outgrowth, synapse assembly and neuronal survival",75,5.284E-01,7.033E-01,5.284E-01,7.033E-01,7,"NCAM1, PKC, GluR1, Fyn, AKT(PKB), nNOS, Cofilin",
1057,Transport_ACM3 signaling in lacrimal glands,75,5.284E-01,7.033E-01,5.284E-01,7.033E-01,7,"Lactoperoxidase, LBP, PKC-alpha, G-protein alpha-q/11, c-Src, Mucin 7, ACM3",
1058,Development_Role of HDAC and calcium/calmodulin-dependent kinase (CaMK) in control of skeletal myogenesis,53,5.338E-01,7.098E-01,5.338E-01,7.098E-01,5,"HDAC9, PI3K cat class IA, MEF2C, MEF2, AKT(PKB)",
1059,Transcription_FXR-regulated cholesterol and bile acids cellular transport,42,5.379E-01,7.139E-01,5.379E-01,7.139E-01,4,"OATP8, BSEP, HNF4-alpha, MDR1",
1060,Transport_HDL-mediated reverse cholesterol transport,42,5.379E-01,7.139E-01,5.379E-01,7.139E-01,4,"CES1, APOA2, LIPE, CETP",
1061,Development_Inhibition of angiogenesis by PEDF,31,5.438E-01,7.192E-01,5.438E-01,7.192E-01,3,"FasR(CD95), PA24A, FasL(TNFSF6)",
1062,IL-1 beta-dependent CFTR expression,31,5.438E-01,7.192E-01,5.438E-01,7.192E-01,3,"IL-1 beta, Pellino 1, Pellino 2",
1063,Influence of low doses of Arsenite on glucose uptake in adipocytes,31,5.438E-01,7.192E-01,5.438E-01,7.192E-01,3,"PI3K cat class IA, IRS-2, AKT(PKB)",
1064,Regulation of lipid metabolism_FXR-dependent negative-feedback regulation of bile acids concentration,31,5.438E-01,7.192E-01,5.438E-01,7.192E-01,3,"CYP7A1, HNF4-alpha, FGF19",
1065,Muscle contraction_Regulation of eNOS activity in endothelial cells,65,5.463E-01,7.211E-01,5.463E-01,7.211E-01,6,"PI3K cat class IA, ETS1, G-protein alpha-i family, AKT(PKB), Caveolin-1, c-Src",
1066,Signal transduction_mTORC2 upstream signaling,65,5.463E-01,7.211E-01,5.463E-01,7.211E-01,6,"PI3K cat class IA, V1a receptor, Protor-2, EGFR, AKT(PKB), Frizzled",
1067,Immune response_IFN-gamma signaling via JAK/STAT and PLC-gamma,54,5.508E-01,7.264E-01,5.508E-01,7.264E-01,5,"PKC-alpha, Fyn, c-Src, XAF1, Aquaporin 1",
1068,Neurophysiological process_Olfactory transduction,20,5.538E-01,7.283E-01,5.538E-01,7.283E-01,2,"Olfactory receptor, G-protein alpha-olf",
1069,Stem cells_Putative pathways of telomerase regulation in glioblastoma stem cells,20,5.538E-01,7.283E-01,5.538E-01,7.283E-01,2,"PI3K cat class IA, AKT(PKB)",
1070,Regulation of caspase activity in Huntington's disease,20,5.538E-01,7.283E-01,5.538E-01,7.283E-01,2,"Caspase-12, Caspase-1",
1071,"POMC, alpha-MSH and AGRP in regulation of food intake and energy expenditure in obesity in hypothalamus",43,5.569E-01,7.303E-01,5.569E-01,7.303E-01,4,"PKC-alpha, G-protein alpha-i family, PC1, MC4R",
1072,"Nicotine signaling in dopaminergic neurons, Pt. 2 - axon terminal",43,5.569E-01,7.303E-01,5.569E-01,7.303E-01,4,"PLAT (TPA), G-protein alpha-i family, PAR1, DARPP-32",
1073,Signal transduction_AKT signaling,43,5.569E-01,7.303E-01,5.569E-01,7.303E-01,4,"PI3K cat class IA, FasL(TNFSF6), AKT(PKB), HGF receptor (Met)",
1074,Neurophysiological process_Glucose-excited neurons of ventromedial nucleus (rodent model),32,5.659E-01,7.400E-01,5.659E-01,7.400E-01,3,"Glucagon, SLC5A1, GABA-A receptor",
1075,Signal transduction_ERK1/2 signaling pathway,32,5.659E-01,7.400E-01,5.659E-01,7.400E-01,3,"B-Raf, PKC-alpha, M-Ras",
1076,Epithelial cell apoptosis in COPD,32,5.659E-01,7.400E-01,5.659E-01,7.400E-01,3,"PAR1, Apo-2L(TNFSF10), AKT(PKB)",
1077,Tau pathology in Alzheimer disease,55,5.676E-01,7.415E-01,5.676E-01,7.415E-01,5,"PKC, Glypican-3, NR2, MAP2, Syndecan-2",
1078,K-RAS signaling in pancreatic cancer,44,5.756E-01,7.485E-01,5.756E-01,7.485E-01,4,"B-Raf, IL-8, AKT(PKB), PLAU (UPA)",
1079,Development_Ligand-independent activation of ESR1 and ESR2,44,5.756E-01,7.485E-01,5.756E-01,7.485E-01,4,"PI3K cat class IA, EGFR, AKT(PKB), Caveolin-1",
1080,Apoptosis and survival_FAS signaling cascades,44,5.756E-01,7.485E-01,5.756E-01,7.485E-01,4,"Caspase-10, FasR(CD95) soluble, FasR(CD95), FasL(TNFSF6)",
1081,Neurophysiological process_Melatonin signaling,44,5.756E-01,7.485E-01,5.756E-01,7.485E-01,4,"Melatonin receptor 1B, G-protein alpha-i family, Adenylate cyclase, Melatonin receptor 1A",
1082,Ganglioside Metabolism p2,44,5.756E-01,7.485E-01,5.756E-01,7.485E-01,4,"SIA7C, SIA7E, SIAT8A, SIAT4B",
1083,Possible regulation of HSF-1/ chaperone pathway in Huntington's disease,21,5.809E-01,7.547E-01,5.809E-01,7.547E-01,2,"PKC-alpha, PLA2",
1084,Regulation of Beta-catenin activity in colorectal cancer,56,5.840E-01,7.581E-01,5.840E-01,7.581E-01,5,"PGE2R2, PI3K cat class IA, Adenylate cyclase, AKT(PKB), Axin",
1085,G-protein signaling_Regulation of CDC42 activity,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"CDGAP, Fyn, Caspase-1",
1086,p53 signaling in Prostate Cancer,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"PI3K cat class IA, AKT(PKB), IBP3",
1087,Apoptosis and survival_Regulation of Apoptosis by Mitochondrial Proteins,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"FasR(CD95), BFL1, Bcl-B",
1088,Prolactin signaling in Prostate Cancer,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"STAT5A, c-Src, Prolactin",
1089,Development_Activation of astroglial cells proliferation by ACM3,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"PI3K cat class IA, AKT(PKB), ACM3",
1090,LRRK2 in neurons in Parkinson's disease,33,5.873E-01,7.581E-01,5.873E-01,7.581E-01,3,"Alpha-synuclein, MSN (moesin), Actin cytoskeletal",
1091,Heme metabolism,103,5.992E-01,7.728E-01,5.992E-01,7.728E-01,9,"Ceruloplasmin, Apotransferrin, UGT1A1, UGT1A10, Holotransferrin, Ferritin mitochondrial, Neuroglobin, UGT1A4, UGT1A6",
1092,Development_Positive regulation of WNT/Beta-catenin signaling in the nucleus,69,6.062E-01,7.782E-01,6.062E-01,7.782E-01,6,"Tcf(Lef), RUNX, WNT, TLE, TCF7 (TCF1), Frizzled",
1093,Inhibition of GSK3 beta by lithium in major depressive disorder,22,6.067E-01,7.782E-01,6.067E-01,7.782E-01,2,"AKT(PKB), TrkB",
1094,Translation_Role of Retinoic acid signaling in the initiation of translation,22,6.067E-01,7.782E-01,6.067E-01,7.782E-01,2,"MAP2, GluR1",
1095,Microsatellite instability in gastric cancer,22,6.067E-01,7.782E-01,6.067E-01,7.782E-01,2,"TGF-beta receptor type II, p16INK4",
1096,Amitraz-induced inhibition of Insulin secretion,22,6.067E-01,7.782E-01,6.067E-01,7.782E-01,2,"G-protein alpha-i1, G-protein alpha-i family",
1097,Role of Huntingtin in regulation of BDNF in Huntington's disease,22,6.067E-01,7.782E-01,6.067E-01,7.782E-01,2,"PI3K cat class IA, AKT(PKB)",
1098,TMPRSS2-ERG fusion in Prostate Cancer,46,6.115E-01,7.820E-01,6.115E-01,7.820E-01,4,"MxA, IL-8, B3GT1, ICAM2",
1099,Role of GIP in pathogenesis of type 2 diabetes,46,6.115E-01,7.820E-01,6.115E-01,7.820E-01,4,"B-Raf, Adenylate cyclase type VIII, GIP, AKT(PKB)",
1100,Serotonin - melatonin biosynthesis and metabolism,46,6.115E-01,7.820E-01,6.115E-01,7.820E-01,4,"IDO1, CYP1A1, ALDR, MAOB",
