Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
878,Signal transduction_Activin A signaling regulation,33,8.26E-02,1.38E-01,8.26E-02,1.38E-01,6,"Activin A, DLX1, Follistatin, MECOM, SMAD3, FKHL1",1.73E-01,3.02E-01,5,"Activin A, DLX1, Follistatin, MECOM, FKHL1"
879,IgE- and MGF-induced Fyn-mediated activation of lung mast cells in asthma,49,8.31E-02,1.38E-01,8.31E-02,1.38E-01,8,"Syk, S1P1 receptor, Lyn, N-Ras, Fyn, SOS, AKT(PKB), PDK (PDPK1)",2.80E-01,4.31E-01,6,"Syk, S1P1 receptor, Lyn, Fyn, SOS, AKT(PKB)"
880,Development_Neurotrophin family signaling,41,8.38E-02,1.39E-01,8.38E-02,1.39E-01,7,"NGF, NGFR(TNFRSF16), PI3K cat class IA, ERK1/2, SOS, AKT(PKB), p53",3.11E-01,4.68E-01,5,"NGF, NGFR(TNFRSF16), PI3K cat class IA, SOS, AKT(PKB)"
881,Apoptosis and survival_Phosphorylation in TNF-alpha-induced NF-kB signaling,41,8.38E-02,1.39E-01,8.38E-02,1.39E-01,7,"PI3K cat class IA, RelA (p65 NF-kB subunit), Adenylate cyclase, PDK (PDPK1), Pim-1, NF-kB p65/p65, CDK6",1.62E-01,2.85E-01,6,"PI3K cat class IA, RelA (p65 NF-kB subunit), Adenylate cyclase, Pim-1, NF-kB p65/p65, CDK6"
882,Development_Beta-adrenergic receptors signaling via Cyclic AMP,51,8.57E-02,1.61E-01,9.98E-02,1.61E-01,8,"AKAP6, Troponin C, cardiac, Adenylate cyclase, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, PDE3A, Troponin I, cardiac, Perilipin",8.57E-02,1.80E-01,8,"AKAP6, Troponin C, cardiac, Adenylate cyclase, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, PDE3A, Troponin I, cardiac, Perilipin"
883,Protein folding_Membrane trafficking and signal transduction of G-alpha (i) heterotrimeric G-protein,19,8.63E-02,1.55E-01,9.53E-02,1.55E-01,4,"RGS4, Adenylate cyclase type II, G-protein gamma, G-protein alpha-i family",8.63E-02,1.80E-01,4,"RGS4, Adenylate cyclase type II, G-protein gamma, G-protein alpha-i family"
884,Schema: Initiation of T cell recruitment in allergic contact dermatitis,19,8.63E-02,1.55E-01,9.53E-02,1.55E-01,4,"IP10, alpha-4/beta-1 integrin, ICAM1, CD1d",8.63E-02,1.80E-01,4,"IP10, alpha-4/beta-1 integrin, ICAM1, CD1d"
885,Development_Prolactin receptor signaling,58,8.87E-02,1.47E-01,8.87E-02,1.47E-01,9,"STAT3, PI3K cat class IA, NMI, Bcl-2, ERK1/2, Fyn, SOS, AKT(PKB), Prolactin receptor",2.68E-01,4.16E-01,7,"PI3K cat class IA, NMI, Bcl-2, Fyn, SOS, AKT(PKB), Prolactin receptor"
886,Effect of H. pylori infection on gastric epithelial cell proliferation,58,8.87E-02,1.47E-01,8.87E-02,1.47E-01,9,"Lyn, EGFR, TLR4, ERK1/2, SOS1, p53, HGF receptor (Met), p27KIP1, IP3 receptor",4.29E-01,5.99E-01,6,"Lyn, EGFR, TLR4, SOS1, HGF receptor (Met), IP3 receptor"
887,Cell adhesion_Classical cadherin-mediated cell adhesion,26,8.98E-02,1.48E-01,8.98E-02,1.48E-01,5,"N-cadherin, F-Actin, F-Actin cytoskeleton, Beta-catenin, Actin cytoskeletal",9.15E-01,9.83E-01,1,N-cadherin
888,Notch signaling in oligodendrocyte precursor cell differentiation in multiple sclerosis,27,9.12E-02,1.64E-01,1.02E-01,1.64E-01,5,"CNTN1 (F3), SOX10, Myelin basic protein, HES5, Jagged1",9.12E-02,1.87E-01,5,"CNTN1 (F3), SOX10, Myelin basic protein, HES5, Jagged1"
889,Development_Generation of pancreatic beta-cells from induced pluripotent stem cells,27,9.12E-02,1.64E-01,1.02E-01,1.64E-01,5,"Activin A, Oct-3/4, SOX2, FGF2, Nkx2.2",9.12E-02,1.87E-01,5,"Activin A, Oct-3/4, SOX2, FGF2, Nkx2.2"
890,Regulatory T cells in murine model of contact hypersensitivity,27,9.12E-02,1.64E-01,1.02E-01,1.64E-01,5,"TNF-R2, MHC class II, ICAM1, 5'-NTD, NF-kB",9.12E-02,1.87E-01,5,"TNF-R2, MHC class II, ICAM1, 5'-NTD, NF-kB"
891,Development_IGF-1 receptor signaling,50,9.12E-02,1.50E-01,9.12E-02,1.50E-01,8,"BAD, PI3K cat class IA, IRS-2, ERK1/2, SOS, NF-kB, AKT(PKB), PDK (PDPK1)",4.77E-01,6.41E-01,5,"PI3K cat class IA, IRS-2, SOS, NF-kB, AKT(PKB)"
892,TGF-beta signaling via microRNA in breast cancer,50,9.12E-02,1.50E-01,9.12E-02,1.50E-01,8,"TGF-beta 2, TGF-beta 3, ETS1, SLUG, Bcl-2, SIP1 (ZFHX1B), SMAD3, TCF8",1.62E-01,2.85E-01,7,"TGF-beta 2, TGF-beta 3, ETS1, SLUG, Bcl-2, SIP1 (ZFHX1B), TCF8"
893,Immune response_IL-13 signaling via PI3K-ERK pathway,50,9.12E-02,1.50E-01,9.12E-02,1.50E-01,8,"IRS-2, Mucin 5AC, IGHE, ERK1/2, SOS, AKT(PKB), PI3K cat class IA (p110-delta), IP3 receptor",1.62E-01,2.85E-01,7,"IRS-2, Mucin 5AC, IGHE, SOS, AKT(PKB), PI3K cat class IA (p110-delta), IP3 receptor"
894,Development_HGF-dependent inhibition of TGF-beta-induced EMT,34,9.28E-02,1.51E-01,9.28E-02,1.51E-01,6,"HGF, COX-2 (PTGS2), TGF-beta receptor type II, ERK1/2, SOS, HGF receptor (Met)",1.89E-01,3.20E-01,5,"HGF, COX-2 (PTGS2), TGF-beta receptor type II, SOS, HGF receptor (Met)"
895,Proinflammatory cytokine release from eosinophils in asthma,34,9.28E-02,1.51E-01,9.28E-02,1.51E-01,6,"IL-1 beta, NGF, IL-8, ERK1/2, LIF, IL-6",1.89E-01,3.20E-01,5,"IL-1 beta, NGF, IL-8, LIF, IL-6"
896,Role of TNF-alpha in type 2 diabetes in skeletal muscle cells,42,9.28E-02,1.51E-01,9.28E-02,1.51E-01,7,"HGK(MAP4K4), RelA (p65 NF-kB subunit), PKC-theta, PKC-alpha, ACACB, PPARGC1 (PGC1-alpha), ERK2 (MAPK1)",1.75E-01,3.03E-01,6,"HGK(MAP4K4), RelA (p65 NF-kB subunit), PKC-theta, PKC-alpha, ACACB, PPARGC1 (PGC1-alpha)"
897,Serotonin modulation of dopamine release in nicotine addiction,42,9.28E-02,1.51E-01,9.28E-02,1.51E-01,7,"HTR3, PKC, GABA-A receptor, PTEN, G-protein alpha-i family, Adenylate cyclase, nAChR alpha-4",1.75E-01,3.03E-01,6,"HTR3, PKC, GABA-A receptor, G-protein alpha-i family, Adenylate cyclase, nAChR alpha-4"
898,Translation_Insulin regulation of translation,42,9.28E-02,1.51E-01,9.28E-02,1.51E-01,7,"Tuberin, PI3K cat class IA, IRS-2, ERK1/2, SOS, AKT(PKB), PDK (PDPK1)",5.34E-01,6.88E-01,4,"PI3K cat class IA, IRS-2, SOS, AKT(PKB)"
899,Immune response_T cell subsets: cell surface markers,52,9.36E-02,1.73E-01,1.09E-01,1.73E-01,8,"ST2(L), IL-15RA, IL7RA, TCR beta subunit, CD44, CCR8, CD94, CCR5",9.36E-02,1.91E-01,8,"ST2(L), IL-15RA, IL7RA, TCR beta subunit, CD44, CCR8, CD94, CCR5"
900,HCV-mediated liver damage and predisposition to HCC progression via p53,19,9.53E-02,1.55E-01,9.53E-02,1.55E-01,4,"ERK1/2, SOS, p53, Histone H1",5.23E-01,6.78E-01,2,"SOS, Histone H1"
901,Inhibition of WNT5A-dependent non-canonical pathway in colorectal cancer,19,9.53E-02,1.55E-01,9.53E-02,1.55E-01,4,"ROR-alpha, PKC-alpha, Beta-catenin, TCF7 (TCF1)",2.44E-01,3.87E-01,3,"ROR-alpha, PKC-alpha, TCF7 (TCF1)"
902,Role of TLR signaling in skin sensitization,44,9.81E-02,1.78E-01,1.13E-01,1.78E-01,7,"IL-1 beta, CD14, TLR4, IL-6, TIRAP (Mal), IFN-beta, TLR2",9.81E-02,1.98E-01,7,"IL-1 beta, CD14, TLR4, IL-6, TIRAP (Mal), IFN-beta, TLR2"
903,HIF-1 in gastric cancer,51,9.98E-02,1.61E-01,9.98E-02,1.61E-01,8,"COX-2 (PTGS2), PGE2R2, Bcl-2, ERK1/2, AKT(PKB), p53, PDK (PDPK1), MDR1",4.95E-01,6.54E-01,5,"COX-2 (PTGS2), PGE2R2, Bcl-2, AKT(PKB), MDR1"
904,Putative pathways of n-3 and n-6 fatty acids in obesity and type 2 diabetes,51,9.98E-02,1.61E-01,9.98E-02,1.61E-01,8,"COX-2 (PTGS2), PTGIS, Adiponectin, Adenylate cyclase, AKT(PKB), G-protein alpha-q/11, FASN, GPR120",1.74E-01,3.02E-01,7,"COX-2 (PTGS2), PTGIS, Adiponectin, Adenylate cyclase, AKT(PKB), G-protein alpha-q/11, GPR120"
905,Immune response_Fc epsilon RI pathway: calcium-dependent signaling,68,1.00E-01,1.61E-01,1.00E-01,1.61E-01,10,"Syk, PKC-alpha, ERM proteins, cPLA2, Lyn, ERK1/2, Myosin II, Fyn, AKT(PKB), IP3 receptor",2.71E-01,4.18E-01,8,"Syk, PKC-alpha, ERM proteins, cPLA2, Lyn, Fyn, AKT(PKB), IP3 receptor"
906,PR action in breast cancer: stimulation of metastasis,20,1.01E-01,1.76E-01,1.11E-01,1.76E-01,4,"IRS-2, Tissue factor, PR (membrane), PR (nuclear)",1.01E-01,2.01E-01,4,"IRS-2, Tissue factor, PR (membrane), PR (nuclear)"
907,Immune response_Antiviral actions of Interferons,53,1.02E-01,1.85E-01,1.18E-01,1.85E-01,8,"IDO1, MxA, MHC class II, iNOS, HLA-A, CIITA, HLA-DRA1, IFN-beta",1.02E-01,2.02E-01,8,"IDO1, MxA, MHC class II, iNOS, HLA-A, CIITA, HLA-DRA1, IFN-beta"
908,Activation of osteoclast differentiation in bone lesions formation in multiple myeloma,27,1.02E-01,1.64E-01,1.02E-01,1.64E-01,5,"RelA (p65 NF-kB subunit), alpha-4/beta-1 integrin, ERK1/2, CCR5, Osteoprotegerin",2.24E-01,3.61E-01,4,"RelA (p65 NF-kB subunit), alpha-4/beta-1 integrin, CCR5, Osteoprotegerin"
909,G-protein signaling_G-Protein alpha-i signaling cascades,27,1.02E-01,1.64E-01,1.02E-01,1.64E-01,5,"STAT3, G-protein alpha-i family, ERK1/2, SOS, Caveolin-1",4.47E-01,6.15E-01,3,"G-protein alpha-i family, SOS, Caveolin-1"
910,Development_Angiopoietin - Tie2 signaling,35,1.04E-01,1.66E-01,1.04E-01,1.66E-01,6,"STAT3, TIE2, PI3K cat class IA, Angiopoietin 1, NF-kB, AKT(PKB)",2.06E-01,3.41E-01,5,"TIE2, PI3K cat class IA, Angiopoietin 1, NF-kB, AKT(PKB)"
911,Anti-apoptotic action of Gastrin in pancreatic cancer,35,1.04E-01,1.66E-01,1.04E-01,1.66E-01,6,"BAD, PI3K cat class IA, RelA (p65 NF-kB subunit), Bcl-2, AKT(PKB), PDK (PDPK1)",3.91E-01,5.57E-01,4,"PI3K cat class IA, RelA (p65 NF-kB subunit), Bcl-2, AKT(PKB)"
912,Cell cycle_ESR1 regulation of G1/S transition,35,1.04E-01,1.66E-01,1.04E-01,1.66E-01,6,"ESR1 (nuclear), Cyclin E, ERK1/2, ERK2 (MAPK1), p27KIP1, CDK6",6.25E-01,7.64E-01,3,"ESR1 (nuclear), Cyclin E, CDK6"
913,Neurophysiological process_Ephrin-B receptors in dendritic spine morphogenesis and synaptogenesis,35,1.04E-01,1.66E-01,1.04E-01,1.66E-01,6,"NMDA receptor, GABA-A receptor, Ephrin-B receptor 2, Actin cytoskeletal, Fyn, Ephrin-B receptors",2.06E-01,3.41E-01,5,"NMDA receptor, GABA-A receptor, Ephrin-B receptor 2, Fyn, Ephrin-B receptors"
914,Regulation of CFTR activity (normal and CF),62,1.04E-01,1.90E-01,1.22E-01,1.90E-01,9,"Syk, PGE2R4, Adenosine A2b receptor, G-protein alpha-i family, Adenylate cyclase, PDZK1, EBP50, PP2A regulatory, Beta-2 adrenergic receptor",1.04E-01,2.05E-01,9,"Syk, PGE2R4, Adenosine A2b receptor, G-protein alpha-i family, Adenylate cyclase, PDZK1, EBP50, PP2A regulatory, Beta-2 adrenergic receptor"
915,Development_TGF-beta receptor signaling,52,1.09E-01,1.73E-01,1.09E-01,1.73E-01,8,"TGF-beta receptor type II, ERK1/2, p15, SOS, NF-kB, SMAD3, Caveolin-1, ER81",3.29E-01,4.86E-01,6,"TGF-beta receptor type II, p15, SOS, NF-kB, Caveolin-1, ER81"
916,Neurophysiological process_Synaptic vesicle fusion and recycling in nerve terminals,52,1.09E-01,1.73E-01,1.09E-01,1.73E-01,8,"Alpha-synuclein, SV2A, AP180, F-Actin, CaMK I, Synapsin II, Endophilin A1, Complexin",1.87E-01,3.20E-01,7,"Alpha-synuclein, SV2A, AP180, CaMK I, Synapsin II, Endophilin A1, Complexin"
917,DNA damage_Inhibition of telomerase activity and cellular senescence,20,1.11E-01,1.76E-01,1.11E-01,1.76E-01,4,"AKT(PKB), p53, p16INK4, CDK6",2.69E-01,4.16E-01,3,"AKT(PKB), p16INK4, CDK6"
918,wtCFTR and deltaF508-CFTR traffic / Clathrin coated vesicles formation (normal and CF),20,1.11E-01,1.76E-01,1.11E-01,1.76E-01,4,"AP180, Myosin I, Actin cytoskeletal, Actin",2.69E-01,4.16E-01,3,"AP180, Myosin I, Actin"
919,Cytoskeleton remodeling_Role of Activin A in cytoskeleton remodeling,20,1.11E-01,1.76E-01,1.11E-01,1.76E-01,4,"Activin A, ACTA2, SMAD3, Fibronectin",2.69E-01,4.16E-01,3,"Activin A, ACTA2, Fibronectin"
920,Proliferative action of Gastrin in pancreatic cancer,44,1.13E-01,1.78E-01,1.13E-01,1.78E-01,7,"STAT3, PI3K cat class IA, PKC-alpha, ERK1/2, SOS, PDK (PDPK1), IP3 receptor",5.72E-01,7.22E-01,4,"PI3K cat class IA, PKC-alpha, SOS, IP3 receptor"
921,Chemotaxis_C5a-induced chemotaxis,44,1.13E-01,1.78E-01,1.13E-01,1.78E-01,7,"G-protein alpha-15, G-protein alpha-i family, F-Actin cytoskeleton, ERK1/2, Actin cytoskeletal, IP3 receptor, PREX1",5.72E-01,7.22E-01,4,"G-protein alpha-15, G-protein alpha-i family, IP3 receptor, PREX1"
922,Immune response_iC3b-induced phagocytosis via alpha-M/beta-2 integrin,61,1.13E-01,1.79E-01,1.13E-01,1.79E-01,9,"Syk, PI3K cat class IA, PKC, ITGB2, Myosin II, Actin cytoskeletal, Rac2, iC3b, IP3 receptor",3.12E-01,4.68E-01,7,"Syk, PI3K cat class IA, PKC, ITGB2, Rac2, iC3b, IP3 receptor"
923,Development_Beta adrenergic receptors in brown adipocyte differentiation,36,1.15E-01,1.81E-01,1.15E-01,1.81E-01,6,"EGR2 (Krox20), Adenylate cyclase, FOXC2, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor, FASN",2.22E-01,3.60E-01,5,"EGR2 (Krox20), Adenylate cyclase, FOXC2, PPARGC1 (PGC1-alpha), Beta-2 adrenergic receptor"
924,Microsatellite instability in colorectal cancer,36,1.15E-01,1.81E-01,1.15E-01,1.81E-01,6,"PCNA, TGF-beta receptor type II, EGFR, Ephrin-B receptor 2, HLA-DRA1, p53",4.12E-01,5.80E-01,4,"TGF-beta receptor type II, EGFR, Ephrin-B receptor 2, HLA-DRA1"
925,Cell cycle_Regulation of G1/S transition (part 2),28,1.15E-01,1.81E-01,1.15E-01,1.81E-01,5,"RelA (p65 NF-kB subunit), Cyclin E, ERK1/2, AKT(PKB), CDK6",2.44E-01,3.87E-01,4,"RelA (p65 NF-kB subunit), Cyclin E, AKT(PKB), CDK6"
926,Gamma-secretase regulation of mammary cell development,21,1.16E-01,1.97E-01,1.27E-01,1.97E-01,4,"NOTCH4 (ICD4), Neuregulin 1, NOTCH4, MTG16 (CBFA2T3)",1.16E-01,2.24E-01,4,"NOTCH4 (ICD4), Neuregulin 1, NOTCH4, MTG16 (CBFA2T3)"
927,Role of ZNF202 in regulation of expression of genes involved in atherosclerosis,21,1.16E-01,1.97E-01,1.27E-01,1.97E-01,4,"ABCG1, IA-1, HDL proteins, PEMT",1.16E-01,2.24E-01,4,"ABCG1, IA-1, HDL proteins, PEMT"
928,Role of IFN-beta in activation of T cell apoptosis in multiple sclerosis,29,1.16E-01,1.99E-01,1.29E-01,1.99E-01,5,"c-IAP2, c-IAP1, 5'-NTD, AKT(PKB), IFN-beta",1.16E-01,2.24E-01,5,"c-IAP2, c-IAP1, 5'-NTD, AKT(PKB), IFN-beta"
929,Signal transduction_Calcium signaling,46,1.18E-01,2.07E-01,1.34E-01,2.07E-01,7,"cPKC (conventional), AKAP6, CD44, NCX1, CaMK I, MEF2, IP3 receptor",1.18E-01,2.26E-01,7,"cPKC (conventional), AKAP6, CD44, NCX1, CaMK I, MEF2, IP3 receptor"
930,Apoptosis and survival_Role of PKR in stress-induced apoptosis,53,1.18E-01,1.85E-01,1.18E-01,1.85E-01,8,"TLR4, ERK1/2, PP2A regulatory, NF-kB, Caspase-8, p53, TLR3, IFN-beta",5.30E-01,6.85E-01,5,"TLR4, PP2A regulatory, NF-kB, TLR3, IFN-beta"
931,ENaC regulation in normal and CF airways ,53,1.18E-01,1.85E-01,1.18E-01,1.85E-01,8,"cPKC (conventional), PI3K cat class IA, EDNRB, SERPINE2, Adenylate cyclase, ERK1/2, Beta-2 adrenergic receptor, G-protein alpha-q/11",2.00E-01,3.35E-01,7,"cPKC (conventional), PI3K cat class IA, EDNRB, SERPINE2, Adenylate cyclase, Beta-2 adrenergic receptor, G-protein alpha-q/11"
932,TLRs-mediated IFN-alpha production by plasmacytoid dendritic cells in SLE,53,1.18E-01,1.85E-01,1.18E-01,1.85E-01,8,"CAMP, TLR7, AKT(PKB), Fc gamma RII alpha, PDK (PDPK1), A20, Pim-1, PI3K cat class IA (p110-delta)",2.00E-01,3.35E-01,7,"CAMP, TLR7, AKT(PKB), Fc gamma RII alpha, A20, Pim-1, PI3K cat class IA (p110-delta)"
933,Oxidative stress in adipocyte dysfunction in type 2 diabetes and metabolic syndrome X,64,1.21E-01,2.16E-01,1.41E-01,2.16E-01,9,"PI3K cat class IA, RelA (p65 NF-kB subunit), Adiponectin, IRS-2, CCL2, Xanthine oxidase, IL-6, AKT(PKB), PLA2",1.21E-01,2.31E-01,9,"PI3K cat class IA, RelA (p65 NF-kB subunit), Adiponectin, IRS-2, CCL2, Xanthine oxidase, IL-6, AKT(PKB), PLA2"
934,Renin-Angiotensin-Aldosterone System,62,1.22E-01,1.90E-01,1.22E-01,1.90E-01,9,"CYP11B2, PKC-alpha, cPLA2, ERK1/2, CaMK I, G-protein alpha-q/11, RGS2, MDR1, IP3 receptor",1.95E-01,3.28E-01,8,"CYP11B2, PKC-alpha, cPLA2, CaMK I, G-protein alpha-q/11, RGS2, MDR1, IP3 receptor"
935,Regulation of microRNAs in colorectal cancer,62,1.22E-01,1.90E-01,1.22E-01,1.90E-01,9,"STAT3, RelA (p65 NF-kB subunit), LIN-28B, EGFR, TCF7L2 (TCF4), MECOM, AKT(PKB), p53, HGF receptor (Met)",3.27E-01,4.85E-01,7,"RelA (p65 NF-kB subunit), LIN-28B, EGFR, TCF7L2 (TCF4), MECOM, AKT(PKB), HGF receptor (Met)"
936,Nicotine signaling in chromaffin cells,45,1.23E-01,1.92E-01,1.23E-01,1.92E-01,7,"Chapsyn-110, TY3H, N-cadherin, Chromogranin A, PKC-alpha, ERK1/2, Beta-catenin",3.85E-01,5.50E-01,5,"Chapsyn-110, TY3H, N-cadherin, Chromogranin A, PKC-alpha"
937,Apo-2L(TNFSF10)-induced apoptosis in melanoma,45,1.23E-01,1.92E-01,1.23E-01,1.92E-01,7,"RelA (p65 NF-kB subunit), IL-8, XBP1, NF-kB, Caspase-8, IFN-beta, XAF1",2.18E-01,3.57E-01,6,"RelA (p65 NF-kB subunit), IL-8, XBP1, NF-kB, IFN-beta, XAF1"
938,Development_Activation of ERK by Alpha-1 adrenergic receptors,45,1.23E-01,1.92E-01,1.23E-01,1.92E-01,7,"G-protein alpha-15, PKC-alpha, ERK1/2, SOS1, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, IP3 receptor",2.18E-01,3.57E-01,6,"G-protein alpha-15, PKC-alpha, SOS1, Alpha-1B adrenergic receptor, Alpha-1D adrenergic receptor, IP3 receptor"
939,Development_EPO-induced MAPK pathway,45,1.23E-01,1.92E-01,1.23E-01,1.92E-01,7,"Syk, PKC-alpha, Lyn, N-Ras, ERK1/2, SOS, IP3 receptor",3.85E-01,5.50E-01,5,"Syk, PKC-alpha, Lyn, SOS, IP3 receptor"
940,Cytoskeleton remodeling_ACM3 and ACM4 in keratinocyte migration,38,1.24E-01,2.14E-01,1.40E-01,2.14E-01,6,"iNOS, G-protein alpha-i family, ACM4, G-protein alpha-q/11, IP3 receptor, ACM3",1.24E-01,2.35E-01,6,"iNOS, G-protein alpha-i family, ACM4, G-protein alpha-q/11, IP3 receptor, ACM3"
941,Development_Positive regulation of STK3/4 (Hippo) pathway and negative regulation of YAP/TAZ function,71,1.24E-01,1.93E-01,1.24E-01,1.93E-01,10,"Schwannomin (NF2), Adenylate cyclase, LIF, AMPK gamma subunit, Beta-catenin, EBP50, Actin cytoskeletal, TAZ, Beta-2 adrenergic receptor, Angiomotin (AMOT)",4.64E-01,6.32E-01,7,"Adenylate cyclase, LIF, AMPK gamma subunit, EBP50, TAZ, Beta-2 adrenergic receptor, Angiomotin (AMOT)"
942,Development_Beta-catenin destruction complex signaling,21,1.27E-01,1.97E-01,1.27E-01,1.97E-01,4,"Tcf(Lef), TCF7L2 (TCF4), Beta-catenin, TCF7 (TCF1)",2.94E-01,4.48E-01,3,"Tcf(Lef), TCF7L2 (TCF4), TCF7 (TCF1)"
943,Neurophysiological process_PGE2-induced pain processing,47,1.28E-01,2.21E-01,1.46E-01,2.21E-01,7,"NMDA receptor, COX-2 (PTGS2), PGE2R2, PGE2R4, cPLA2, Adenylate cyclase, PGE2R3",1.28E-01,2.40E-01,7,"NMDA receptor, COX-2 (PTGS2), PGE2R2, PGE2R4, cPLA2, Adenylate cyclase, PGE2R3"
944,Dysregulation of indirect glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes ,54,1.28E-01,1.98E-01,1.28E-01,1.98E-01,8,"PI3K cat class IA, SUR1, GABA-A receptor, IRS-2, Kir6.2, PC2, PDK (PDPK1), PAX6",2.13E-01,3.50E-01,7,"PI3K cat class IA, SUR1, GABA-A receptor, IRS-2, Kir6.2, PC2, PAX6"
945,Neurophysiological process_Dynein-dynactin motor complex in axonal transport in neurons,54,1.28E-01,1.98E-01,1.28E-01,1.98E-01,8,"NGF, ERK1/2, PRNP, AKT(PKB), Carboxypeptidase H, Dynein 1, cytoplasmic, intermediate chains, DYNC1I1, Vimentin",2.13E-01,3.50E-01,7,"NGF, PRNP, AKT(PKB), Carboxypeptidase H, Dynein 1, cytoplasmic, intermediate chains, DYNC1I1, Vimentin"
946,Muscle contraction_S1P2 receptor-mediated smooth muscle contraction,30,1.29E-01,2.19E-01,1.44E-01,2.19E-01,5,"PKC-alpha, MRLC, CPI-17, MLCK, IP3 receptor",1.29E-01,2.41E-01,5,"PKC-alpha, MRLC, CPI-17, MLCK, IP3 receptor"
947,Gamma-secretase regulation of angiogenesis,30,1.29E-01,2.19E-01,1.44E-01,2.19E-01,5,"NOTCH4 (ICD4), TIE2, Ephrin-B receptor 2, Angiopoietin 1, NOTCH4",1.29E-01,2.41E-01,5,"NOTCH4 (ICD4), TIE2, Ephrin-B receptor 2, Angiopoietin 1, NOTCH4"
948,Transcription_Ligand-dependent activation of the ESR1/SP pathway,30,1.29E-01,2.19E-01,1.44E-01,2.19E-01,5,"ESR1 (nuclear), Cyclin E, EGFR, ADA, Prolactin receptor",1.29E-01,2.41E-01,5,"ESR1 (nuclear), Cyclin E, EGFR, ADA, Prolactin receptor"
949,Muscle contraction_Regulation of eNOS activity in endothelial cells,65,1.30E-01,2.28E-01,1.51E-01,2.28E-01,9,"PI3K cat class IA, EDNRB, ETS1, G-protein alpha-i family, KLF2, BDKRB2, AKT(PKB), Caveolin-1, IP3 receptor",1.30E-01,2.42E-01,9,"PI3K cat class IA, EDNRB, ETS1, G-protein alpha-i family, KLF2, BDKRB2, AKT(PKB), Caveolin-1, IP3 receptor"
950,Amitraz-induced inhibition of Insulin secretion,22,1.32E-01,2.20E-01,1.45E-01,2.20E-01,4,"G-protein alpha-i1, Adenylate cyclase type V, G-protein alpha-i family, Alpha-2A adrenergic receptor",1.32E-01,2.45E-01,4,"G-protein alpha-i1, Adenylate cyclase type V, G-protein alpha-i family, Alpha-2A adrenergic receptor"
951,Apoptosis and survival_IL-17-induced CIKS-independent signaling pathways,46,1.34E-01,2.07E-01,1.34E-01,2.07E-01,7,"STAT3, PI3K cat class IA, Fra-1, STAT4, ERK1/2, NF-kB, PDK (PDPK1)",6.08E-01,7.53E-01,4,"PI3K cat class IA, Fra-1, STAT4, NF-kB"
952,Nociception_Pro-nociceptive action of Nociceptin in spinal cord at low doses,39,1.36E-01,2.31E-01,1.53E-01,2.31E-01,6,"NMDA receptor, Histamine H1 receptor, PGE2R4, GABA-A receptor, NR2, NR2A",1.36E-01,2.50E-01,6,"NMDA receptor, Histamine H1 receptor, PGE2R4, GABA-A receptor, NR2, NR2A"
953,Development_BMP7 in brown adipocyte differentiation,39,1.36E-01,2.31E-01,1.53E-01,2.31E-01,6,"OTOP1, PPARGC1 (PGC1-alpha), COL5A1, Annexin I, PSAT, EDNRA",1.36E-01,2.50E-01,6,"OTOP1, PPARGC1 (PGC1-alpha), COL5A1, Annexin I, PSAT, EDNRA"
954,Tau pathology in Alzheimer disease,55,1.38E-01,2.13E-01,1.38E-01,2.13E-01,8,"NMDA receptor, PKC, NR2, MAP2, ERK1/2, Tau (MAPT), ERK2 (MAPK1), Caspase-8",5.63E-01,7.13E-01,5,"NMDA receptor, PKC, NR2, MAP2, Tau (MAPT)"
955,Development_WNT/Beta-catenin signaling in the cytoplasm,55,1.38E-01,2.13E-01,1.38E-01,2.13E-01,8,"Tcf(Lef), WNT, Beta-catenin, SNAIL1, AKT(PKB), Nucleoredoxin, Dsh, Frizzled",5.63E-01,7.13E-01,5,"Tcf(Lef), WNT, AKT(PKB), Nucleoredoxin, Frizzled"
956,Regulation of intrinsic membrane properties and excitability of striatopallidal medium spiny neurons in Huntington's disease,57,1.40E-01,2.40E-01,1.60E-01,2.40E-01,8,"MaxiK alpha subunit, cPKC (conventional), PKC, G-protein alpha-i family, SCN2A, G-protein alpha-q/11, IP3 receptor, CACNA1D",1.40E-01,2.55E-01,8,"MaxiK alpha subunit, cPKC (conventional), PKC, G-protein alpha-i family, SCN2A, G-protein alpha-q/11, IP3 receptor, CACNA1D"
957,Development_SDF-1 signaling in hematopoietic stem cell homing,38,1.40E-01,2.14E-01,1.40E-01,2.14E-01,6,"PI3K cat class IA, alpha-4/beta-1 integrin, Lyn, ERK1/2, PDK (PDPK1), MMP-9",4.54E-01,6.24E-01,4,"PI3K cat class IA, alpha-4/beta-1 integrin, Lyn, MMP-9"
