Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
999,Role of histone modificators in progression of multiple myeloma,30,2.793E-01,4.092E-01,2.966E-01,4.092E-01,3,"IL-6, Dynein 1, cytoplasmic, intermediate chains, CDK6",2.793E-01,4.382E-01,3,"IL-6, Dynein 1, cytoplasmic, intermediate chains, CDK6",
1000,Inhibition of mast cell functions by Fc gamma RII beta in asthma,30,2.793E-01,4.092E-01,2.966E-01,4.092E-01,3,"Syk, AKT(PKB), Lyn",2.793E-01,4.382E-01,3,"Syk, AKT(PKB), Lyn",
1001,Neurophysiological process_Mu-type opioid receptor-mediated analgesia,30,2.793E-01,4.092E-01,2.966E-01,4.092E-01,3,"beta-Endorphin extracellular region, G-protein alpha-i family, Adenylate cyclase type VII",2.793E-01,4.382E-01,3,"beta-Endorphin extracellular region, G-protein alpha-i family, Adenylate cyclase type VII",
1002,Transcription_Ligand-dependent activation of the ESR1/SP pathway,30,2.793E-01,4.092E-01,2.966E-01,4.092E-01,3,"Cyclin E, EGFR, ADA",2.793E-01,4.382E-01,3,"Cyclin E, EGFR, ADA",
1003,Transcription_Transcription factor Tubby signaling pathways,17,2.809E-01,4.092E-01,2.943E-01,4.092E-01,2,"PKC, G-protein alpha-q/11",2.809E-01,4.392E-01,2,"PKC, G-protein alpha-q/11",
1004,Development_Keratinocyte differentiation,56,2.820E-01,3.954E-01,2.820E-01,3.954E-01,5,"SMAD3, G-protein alpha-q/11, Fra-1, PKC-alpha, ERK1/2",6.771E-01,8.219E-01,3,"G-protein alpha-q/11, Fra-1, PKC-alpha",
1005,Neurophysiological process_Melatonin signaling,44,2.841E-01,4.200E-01,3.050E-01,4.200E-01,4,"G-protein alpha-i family, Adenylate cyclase, Melatonin receptor 1A, ALOX5",2.841E-01,4.432E-01,4,"G-protein alpha-i family, Adenylate cyclase, Melatonin receptor 1A, ALOX5",
1006,Impaired inhibitory action of lipoxins and Resolvin E1 on neutrophil functions in CF,43,2.904E-01,4.059E-01,2.904E-01,4.059E-01,4,"IL-1 beta, IL-8, G-protein alpha-i family, ERK1/2",4.971E-01,6.645E-01,3,"IL-1 beta, IL-8, G-protein alpha-i family",
1007,DNA damage_Role of SUMO in p53 regulation,17,2.943E-01,4.092E-01,2.943E-01,4.092E-01,2,"AKT(PKB), p53",6.598E-01,8.060E-01,1,AKT(PKB),
1008,Cytoskeleton remodeling_FAK signaling,57,2.945E-01,4.092E-01,2.945E-01,4.092E-01,5,"PI3K cat class IA, AKT(PKB), G-protein alpha-q/11, Fibronectin, ERK1/2",4.672E-01,6.319E-01,4,"PI3K cat class IA, AKT(PKB), G-protein alpha-q/11, Fibronectin",
1009,IL-1 beta-dependent CFTR expression,31,2.964E-01,4.308E-01,3.144E-01,4.308E-01,3,"IL-1 beta, Pellino 1, Pellino 2",2.964E-01,4.587E-01,3,"IL-1 beta, Pellino 1, Pellino 2",
1010,Influence of low doses of Arsenite on glucose uptake in adipocytes,31,2.964E-01,4.308E-01,3.144E-01,4.308E-01,3,"PI3K cat class IA, AKT(PKB), IRS-2",2.964E-01,4.587E-01,3,"PI3K cat class IA, AKT(PKB), IRS-2",
1011,Transport_Aldosterone-mediated regulation of ENaC sodium transport,30,2.966E-01,4.092E-01,2.966E-01,4.092E-01,3,"SGK1, ERK2 (MAPK1), AKT(PKB)",5.578E-01,7.195E-01,2,"SGK1, AKT(PKB)",
1012,Putative role of Tregs in COPD,30,2.966E-01,4.092E-01,2.966E-01,4.092E-01,3,"STAT3, IL7RA, ERK1/2",8.510E-01,9.280E-01,1,IL7RA,
1013,Production of arachidonic acid derivatives by mast cells in asthma,30,2.966E-01,4.092E-01,2.966E-01,4.092E-01,3,"COX-2 (PTGS2), cPLA2, ERK1/2",5.578E-01,7.195E-01,2,"COX-2 (PTGS2), cPLA2",
1014,Signal transduction_Additional pathways of NF-kB activation (in the nucleus),30,2.966E-01,4.092E-01,2.966E-01,4.092E-01,3,"Adenylate cyclase, ERK1/2, CDK6",5.578E-01,7.195E-01,2,"Adenylate cyclase, CDK6",
1015,Stem cells_Excitotoxicity of Glutamate in glioblastoma,45,2.981E-01,4.337E-01,3.196E-01,4.337E-01,4,"CDO1, G-protein alpha-i family, GLAST1/EAAT1, SLC7A11",2.981E-01,4.604E-01,4,"CDO1, G-protein alpha-i family, GLAST1/EAAT1, SLC7A11",
1016,"Role of inflammasome in macrophages, adipocytes and pancreatic beta cells in type 2 diabetes",18,3.041E-01,4.337E-01,3.183E-01,4.337E-01,2,"IL-1 beta, Caspase-1",3.041E-01,4.660E-01,2,"IL-1 beta, Caspase-1",
1017,Beta-adrenergic-dependent CFTR expression,18,3.041E-01,4.337E-01,3.183E-01,4.337E-01,2,"Beta-2 adrenergic receptor, Adenylate cyclase",3.041E-01,4.660E-01,2,"Beta-2 adrenergic receptor, Adenylate cyclase",
1018,Multiple myeloma (general schema),18,3.041E-01,4.337E-01,3.183E-01,4.337E-01,2,"IL-6, FGF2",3.041E-01,4.660E-01,2,"IL-6, FGF2",
1019,Stem cells_CD30 signaling in transformed embryonic stem cells,18,3.041E-01,4.337E-01,3.183E-01,4.337E-01,2,"Oct-3/4, CD30(TNFRSF8)",3.041E-01,4.660E-01,2,"Oct-3/4, CD30(TNFRSF8)",
1020,Proliferative action of Gastrin in pancreatic cancer,44,3.050E-01,4.200E-01,3.050E-01,4.200E-01,4,"STAT3, PI3K cat class IA, PKC-alpha, ERK1/2",7.620E-01,8.737E-01,2,"PI3K cat class IA, PKC-alpha",
1021,Angiotensin II Signaling in Cardiac Hypertrophy,72,3.066E-01,4.218E-01,3.066E-01,4.218E-01,6,"TRPC6, TRPC3, G-protein alpha-q/11, PKC-alpha, NCX1, ERK1/2",4.558E-01,6.227E-01,5,"TRPC6, TRPC3, G-protein alpha-q/11, PKC-alpha, NCX1",
1022,Development_Inhibition of angiogenesis by PEDF,31,3.144E-01,4.308E-01,3.144E-01,4.308E-01,3,"PA24A, Caspase-8, p53",8.602E-01,9.335E-01,1,PA24A,
1023,Inhibition of TGF-beta signaling in lung cancer,31,3.144E-01,4.308E-01,3.144E-01,4.308E-01,3,"p15, SMAD3, TGF-beta receptor type II",5.758E-01,7.378E-01,2,"p15, TGF-beta receptor type II",
1024,Development_Schema: Methods of somatic cell reprogramming into induced pluripotent stem cells,6,3.164E-01,4.412E-01,3.254E-01,4.412E-01,1,Oct-3/4,3.164E-01,4.788E-01,1,Oct-3/4,
1025,Nicotine signaling in chromaffin cells,45,3.196E-01,4.337E-01,3.196E-01,4.337E-01,4,"N-cadherin, Beta-catenin, PKC-alpha, ERK1/2",7.729E-01,8.832E-01,2,"N-cadherin, PKC-alpha",
1026,Apo-2L(TNFSF10)-induced apoptosis in melanoma,45,3.196E-01,4.337E-01,3.196E-01,4.337E-01,4,"Caspase-8, IL-8, IFN-beta, XAF1",5.281E-01,6.936E-01,3,"IL-8, IFN-beta, XAF1",
1027,Development_EPO-induced MAPK pathway,45,3.196E-01,4.337E-01,3.196E-01,4.337E-01,4,"Syk, PKC-alpha, Lyn, ERK1/2",5.281E-01,6.936E-01,3,"Syk, PKC-alpha, Lyn",
1028,Development_Membrane-bound ESR1: interaction with growth factors signaling,45,3.196E-01,4.337E-01,3.196E-01,4.337E-01,4,"PI3K cat class IA, AKT(PKB), Caveolin-1, ERK1/2",5.281E-01,6.936E-01,3,"PI3K cat class IA, AKT(PKB), Caveolin-1",
1029,"Role of TNF-alpha, IL-1beta and IL-6 in development of obesity and type 2 diabetes in liver",45,3.196E-01,4.337E-01,3.196E-01,4.337E-01,4,"STAT3, IL-1 beta, IL-6, TNF-R2",5.281E-01,6.936E-01,3,"IL-1 beta, IL-6, TNF-R2",
1030,Transport_Alpha-2 adrenergic receptor regulation of ion channels,47,3.264E-01,4.676E-01,3.490E-01,4.676E-01,4,"G-protein alpha-i1, PKC, AKT(PKB), G-protein alpha-i family",3.264E-01,4.902E-01,4,"G-protein alpha-i1, PKC, AKT(PKB), G-protein alpha-i family",
1031,Development_Alpha-1 adrenergic receptors signaling via Cyclic AMP,19,3.273E-01,4.607E-01,3.421E-01,4.607E-01,2,"Alpha-1B adrenergic receptor, Adenylate cyclase",3.273E-01,4.904E-01,2,"Alpha-1B adrenergic receptor, Adenylate cyclase",
1032,Immune response_IL-6 signaling pathway via MEK/ERK and PI3K/AKT cascades,74,3.293E-01,4.460E-01,3.293E-01,4.460E-01,6,"BAD, STAT3, IL-6, PI3K cat class IA, AKT(PKB), ERK1/2",8.410E-01,9.240E-01,3,"IL-6, PI3K cat class IA, AKT(PKB)",
1033,G-protein signaling_Regulation of CDC42 activity,33,3.307E-01,4.676E-01,3.499E-01,4.676E-01,3,"CDGAP, Fyn, Caspase-1",3.307E-01,4.939E-01,3,"CDGAP, Fyn, Caspase-1",
1034,Development_Activation of astroglial cells proliferation by ACM3,33,3.307E-01,4.676E-01,3.499E-01,4.676E-01,3,"PI3K cat class IA, AKT(PKB), ACM3",3.307E-01,4.939E-01,3,"PI3K cat class IA, AKT(PKB), ACM3",
1035,Signal transduction_ERK1/2 signaling pathway,32,3.321E-01,4.485E-01,3.321E-01,4.485E-01,3,"ERK2 (MAPK1), PKC-alpha, ERK1/2",8.688E-01,9.384E-01,1,PKC-alpha,
1036,Epithelial cell apoptosis in COPD,32,3.321E-01,4.485E-01,3.321E-01,4.485E-01,3,"BAD, AKT(PKB), p53",8.688E-01,9.384E-01,1,AKT(PKB),
1037,DNA damage_ATM/ATR regulation of G1/S checkpoint,32,3.321E-01,4.485E-01,3.321E-01,4.485E-01,3,"PCNA, p53, Cyclin E",8.688E-01,9.384E-01,1,Cyclin E,
1038,Regulation of intrinsic membrane properties and excitability of striatonigral medium spiny neurons in Huntington's disease,62,3.323E-01,4.783E-01,3.583E-01,4.783E-01,5,"cPKC (conventional), SCN2A, PKC, G-protein alpha-q/11, G-protein alpha-olf",3.323E-01,4.947E-01,5,"cPKC (conventional), SCN2A, PKC, G-protein alpha-q/11, G-protein alpha-olf",
1039,Transport_ACM3 signaling in lacrimal glands,75,3.408E-01,4.598E-01,3.408E-01,4.598E-01,6,"CD14, G-protein alpha-q/11, PKC-alpha, Mucin 7, ERK1/2, ACM3",4.919E-01,6.594E-01,5,"CD14, G-protein alpha-q/11, PKC-alpha, Mucin 7, ACM3",
1040,Cannabinoid receptor signaling in nicotine addiction,34,3.479E-01,4.861E-01,3.676E-01,4.861E-01,3,"nAChR alpha-7, G-protein alpha-i1, G-protein alpha-i family",3.479E-01,5.150E-01,3,"nAChR alpha-7, G-protein alpha-i1, G-protein alpha-i family",
1041,Regulation of lipid metabolism_Insulin signaling: generic cascades,47,3.490E-01,4.676E-01,3.490E-01,4.676E-01,4,"PI3K cat class IA, AKT(PKB), IRS-2, ERK1/2",5.579E-01,7.195E-01,3,"PI3K cat class IA, AKT(PKB), IRS-2",
1042,Development_WNT5A signaling,47,3.490E-01,4.676E-01,3.490E-01,4.676E-01,4,"Beta-catenin, PKC-alpha, Tcf(Lef), Dsh",7.934E-01,8.982E-01,2,"PKC-alpha, Tcf(Lef)",
1043,G-protein signaling_N-RAS regulation pathway,33,3.499E-01,4.676E-01,3.499E-01,4.676E-01,3,"MHC class II, Lck, EGFR",6.103E-01,7.696E-01,2,"MHC class II, EGFR",
1044,Development_EGFR signaling via small GTPases,33,3.499E-01,4.676E-01,3.499E-01,4.676E-01,3,"PI3K cat class IA, EGFR, ERK1/2",6.103E-01,7.696E-01,2,"PI3K cat class IA, EGFR",
1045,Resistance of pancreatic cancer cells to death receptor signaling,33,3.499E-01,4.676E-01,3.499E-01,4.676E-01,3,"TRUNDD(TNFRSF10D), c-IAP2, Caspase-8",6.103E-01,7.696E-01,2,"TRUNDD(TNFRSF10D), c-IAP2",
1046,Neurophysiological process_Olfactory transduction,20,3.502E-01,4.861E-01,3.657E-01,4.861E-01,2,"Olfactory receptor, G-protein alpha-olf",3.502E-01,5.162E-01,2,"Olfactory receptor, G-protein alpha-olf",
1047,PR action in breast cancer: stimulation of metastasis,20,3.502E-01,4.861E-01,3.657E-01,4.861E-01,2,"Tissue factor, IRS-2",3.502E-01,5.162E-01,2,"Tissue factor, IRS-2",
1048,Axonal degeneration in multiple sclerosis,49,3.549E-01,4.995E-01,3.785E-01,4.995E-01,4,"SCN2A, iNOS, GluR6, NCX1",3.549E-01,5.220E-01,4,"SCN2A, iNOS, GluR6, NCX1",
1049,Regulatory T cells in human allergic contact dermatitis,7,3.584E-01,4.865E-01,3.683E-01,4.865E-01,1,MHC class II,3.584E-01,5.255E-01,1,MHC class II,
1050,Immune response_NF-AT signaling and leukocyte interactions,48,3.638E-01,4.851E-01,3.638E-01,4.851E-01,4,"COX-2 (PTGS2), MHC class II, Lck, cPLA2",5.724E-01,7.341E-01,3,"COX-2 (PTGS2), MHC class II, cPLA2",
1051,Development_Regulation of telomere length and cellular immortalization,35,3.650E-01,5.046E-01,3.852E-01,5.046E-01,3,"PI3K cat class IA, AKT(PKB), PKC-alpha",3.650E-01,5.317E-01,3,"PI3K cat class IA, AKT(PKB), PKC-alpha",
1052,Neurophysiological process_Thyroliberin in cell hyperpolarization and excitability,35,3.650E-01,5.046E-01,3.852E-01,5.046E-01,3,"cPKC (conventional), PKC-alpha, Kir3.4",3.650E-01,5.317E-01,3,"cPKC (conventional), PKC-alpha, Kir3.4",
1053,Oxidative stress_NOX and DUOX families of NADPH oxidases ,35,3.650E-01,5.046E-01,3.852E-01,5.046E-01,3,"DUOX2, Rac2, DUOXA1",3.650E-01,5.317E-01,3,"DUOX2, Rac2, DUOXA1",
1054,Action of lithium on synaptic transmission and autophagy,35,3.650E-01,5.046E-01,3.852E-01,5.046E-01,3,"PKC-alpha, Adenylate cyclase, Adenylate cyclase type VII",3.650E-01,5.317E-01,3,"PKC-alpha, Adenylate cyclase, Adenylate cyclase type VII",
1055,Apoptosis and survival_Caspase cascade,34,3.676E-01,4.861E-01,3.676E-01,4.861E-01,3,"Caspase-10, AKT(PKB), Caspase-8",6.267E-01,7.809E-01,2,"Caspase-10, AKT(PKB)",
1056,Immune response_IL-11 signaling via JAK/STAT,34,3.676E-01,4.861E-01,3.676E-01,4.861E-01,3,"STAT3, A2M, Pim-1",6.267E-01,7.809E-01,2,"A2M, Pim-1",
1057,Development_Histone acetylation in embryonic stem cells,34,3.676E-01,4.861E-01,3.676E-01,4.861E-01,3,"SNAIL1, Oct-3/4, p53",8.845E-01,9.500E-01,1,Oct-3/4,
1058,Oxidative stress_ROS-mediated activation of MAPK via inhibition of phosphatases,34,3.676E-01,4.861E-01,3.676E-01,4.861E-01,3,"EGFR, ERK1/2, PDGF-R-beta",6.267E-01,7.809E-01,2,"EGFR, PDGF-R-beta",
1059,"Apoptosis and survival_Cytoplasmic/mitochondrial transport of proapoptotic proteins Bid, Bmf and Bim",34,3.676E-01,4.861E-01,3.676E-01,4.861E-01,3,"HGK(MAP4K4), Caspase-10, Caspase-8",6.267E-01,7.809E-01,2,"HGK(MAP4K4), Caspase-10",
1060,Muscle contraction_Regulation of eNOS activity in endothelial cells,65,3.695E-01,5.169E-01,3.968E-01,5.169E-01,5,"PI3K cat class IA, AKT(PKB), Caveolin-1, ETS1, G-protein alpha-i family",3.695E-01,5.360E-01,5,"PI3K cat class IA, AKT(PKB), Caveolin-1, ETS1, G-protein alpha-i family",
1061,Possible regulation of HSF-1/ chaperone pathway in Huntington's disease,21,3.729E-01,5.075E-01,3.889E-01,5.075E-01,2,"PLA2, PKC-alpha",3.729E-01,5.379E-01,2,"PLA2, PKC-alpha",
1062,Cell cycle_Cell cycle (generic schema),21,3.729E-01,5.075E-01,3.889E-01,5.075E-01,2,"Cyclin E, CDK6",3.729E-01,5.379E-01,2,"Cyclin E, CDK6",
1063,Development_Generation of pancreatic beta-cells from embryonic stem cells (early stages),21,3.729E-01,5.075E-01,3.889E-01,5.075E-01,2,"Activin A, Oct-3/4",3.729E-01,5.379E-01,2,"Activin A, Oct-3/4",
1064,Gamma-secretase regulation of mammary cell development,21,3.729E-01,5.075E-01,3.889E-01,5.075E-01,2,"NOTCH4 (ICD4), NOTCH4",3.729E-01,5.379E-01,2,"NOTCH4 (ICD4), NOTCH4",
1065,Immune response_T regulatory cell-mediated modulation of antigen-presenting cell functions,66,3.819E-01,5.298E-01,4.096E-01,5.298E-01,5,"3HAO, IDO1, 5'-NTD, MHC class II, ICAM1",3.819E-01,5.472E-01,5,"3HAO, IDO1, 5'-NTD, MHC class II, ICAM1",
1066,Higher ESR1 / ESR2 ratio in breast cancer,36,3.821E-01,5.236E-01,4.028E-01,5.236E-01,3,"ITGA1, AKT(PKB), Cyclin E",3.821E-01,5.472E-01,3,"ITGA1, AKT(PKB), Cyclin E",
1067,Th2-cytokines induced expression of Mucin 5AC and maintenance of mucous cell phenotype in normal airway epithelium,35,3.852E-01,5.046E-01,3.852E-01,5.046E-01,3,"TGF-beta 2, TGF-beta receptor type II, ERK1/2",6.425E-01,7.912E-01,2,"TGF-beta 2, TGF-beta receptor type II",
1068,Anti-apoptotic action of Gastrin in gastric cancer,35,3.852E-01,5.046E-01,3.852E-01,5.046E-01,3,"BAD, PKC-alpha, ERK1/2",8.916E-01,9.509E-01,1,PKC-alpha,
1069,Immune response_Lipoxins and Resolvin E1 inhibitory action on neutrophil functions,35,3.852E-01,5.046E-01,3.852E-01,5.046E-01,3,"IL-8, G-protein alpha-i family, ERK1/2",6.425E-01,7.912E-01,2,"IL-8, G-protein alpha-i family",
1070,Anti-apoptotic action of Gastrin in pancreatic cancer,35,3.852E-01,5.046E-01,3.852E-01,5.046E-01,3,"BAD, PI3K cat class IA, AKT(PKB)",6.425E-01,7.912E-01,2,"PI3K cat class IA, AKT(PKB)",
1071,Immune response_IL-13 signaling via PI3K-ERK pathway,50,3.932E-01,5.126E-01,3.932E-01,5.126E-01,4,"AKT(PKB), IRS-2, PI3K cat class IA (p110-delta), ERK1/2",6.004E-01,7.629E-01,3,"AKT(PKB), IRS-2, PI3K cat class IA (p110-delta)",
1072,Differences between Langerhans cells and dermal dendritic cells in allergic contact dermatitis,22,3.952E-01,5.298E-01,4.117E-01,5.298E-01,2,"MHC class II, PD-L1",3.952E-01,5.612E-01,2,"MHC class II, PD-L1",
1073,Amitraz-induced inhibition of Insulin secretion,22,3.952E-01,5.298E-01,4.117E-01,5.298E-01,2,"G-protein alpha-i1, G-protein alpha-i family",3.952E-01,5.612E-01,2,"G-protein alpha-i1, G-protein alpha-i family",
1074,Role of Huntingtin in regulation of BDNF in Huntington's disease,22,3.952E-01,5.298E-01,4.117E-01,5.298E-01,2,"PI3K cat class IA, AKT(PKB)",3.952E-01,5.612E-01,2,"PI3K cat class IA, AKT(PKB)",
1075,Immune responses in asthma (schema),8,3.978E-01,5.298E-01,4.084E-01,5.298E-01,1,IL-1 beta,3.978E-01,5.626E-01,1,IL-1 beta,
1076,G-protein signaling_Regulation of p38 and JNK signaling mediated by G-proteins,37,3.990E-01,5.397E-01,4.201E-01,5.397E-01,3,"G-protein alpha-q/11, G-protein alpha-i family, MEF2C",3.990E-01,5.626E-01,3,"G-protein alpha-q/11, G-protein alpha-i family, MEF2C",
1077,G-protein signaling_G-Protein alpha-s signaling cascades,36,4.028E-01,5.236E-01,4.028E-01,5.236E-01,3,"RGS2, AK5, ERK1/2",6.578E-01,8.050E-01,2,"RGS2, AK5",
1078,microRNA in Prostate Cancer,51,4.078E-01,5.297E-01,4.078E-01,5.297E-01,4,"CD44, p53, microRNA 221, CDK6",6.140E-01,7.700E-01,3,"CD44, microRNA 221, CDK6",
1079,Dysregulation of direct glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes  ,53,4.116E-01,5.576E-01,4.368E-01,5.576E-01,4,"Kv2.2, iNOS, CDX2, PAX6",4.116E-01,5.797E-01,4,"Kv2.2, iNOS, CDX2, PAX6",
1080,Development_S1P4 receptor signaling pathway,22,4.117E-01,5.298E-01,4.117E-01,5.298E-01,2,"G-protein alpha-i family, ERK1/2",7.524E-01,8.655E-01,1,G-protein alpha-i family,
1081,Inhibition of GSK3 beta by lithium in major depressive disorder,22,4.117E-01,5.298E-01,4.117E-01,5.298E-01,2,"SMAD3, AKT(PKB)",7.524E-01,8.655E-01,1,AKT(PKB),
1082,Translation_Role of Retinoic acid signaling in the initiation of translation,22,4.117E-01,5.298E-01,4.117E-01,5.298E-01,2,"MAP2, ERK1/2",7.524E-01,8.655E-01,1,MAP2,
1083,Development_Dopamine-induced expression of CNTF in adult neurogenesis,22,4.117E-01,5.298E-01,4.117E-01,5.298E-01,2,"STAT3, G-protein alpha-i family",7.524E-01,8.655E-01,1,G-protein alpha-i family,
1084,Cell cycle_Role of 14-3-3 proteins in cell cycle regulation,22,4.117E-01,5.298E-01,4.117E-01,5.298E-01,2,"AKT(PKB), p53",7.524E-01,8.655E-01,1,AKT(PKB),
1085,Development_Mu-type opioid receptor signaling,38,4.158E-01,5.576E-01,4.373E-01,5.576E-01,3,"beta-Endorphin extracellular region, AKT(PKB), G-protein alpha-i family",4.158E-01,5.821E-01,3,"beta-Endorphin extracellular region, AKT(PKB), G-protein alpha-i family",
1086,Defective efferocytosis in COPD,38,4.158E-01,5.576E-01,4.373E-01,5.576E-01,3,"MFGE8, CD14, Protein S",4.158E-01,5.821E-01,3,"MFGE8, CD14, Protein S",
1087,G-protein signaling_Cross-talk between Ras-family GTPases,23,4.171E-01,5.561E-01,4.341E-01,5.561E-01,2,"PI3K cat class IA, AKT(PKB)",4.171E-01,5.821E-01,2,"PI3K cat class IA, AKT(PKB)",
1088,Transcription_CoREST complex-mediated epigenetic gene silencing,37,4.201E-01,5.397E-01,4.201E-01,5.397E-01,3,"SCN2A, SNAIL1, GFI-1",6.726E-01,8.180E-01,2,"SCN2A, GFI-1",
1089,Neurophysiological process_NMDA-dependent postsynaptic long-term potentiation in CA1 hippocampal neurons,82,4.215E-01,5.409E-01,4.215E-01,5.409E-01,6,"ERK2 (MAPK1), AKT(PKB), PKC-alpha, NR2A, NR2, ERK1/2",7.499E-01,8.655E-01,4,"AKT(PKB), PKC-alpha, NR2A, NR2",
1090,Dysregulation of indirect glucose-induced inhibition of Glucagon secretion from alpha-cells in type 2 diabetes ,54,4.256E-01,5.732E-01,4.512E-01,5.732E-01,4,"PI3K cat class IA, GABA-A receptor, IRS-2, PAX6",4.256E-01,5.916E-01,4,"PI3K cat class IA, GABA-A receptor, IRS-2, PAX6",
1091,NRSF-dependent transcription deregulation in Huntington's Disease,39,4.325E-01,5.741E-01,4.543E-01,5.741E-01,3,"ACM4, ITGB1, Enkephalin A",4.325E-01,5.974E-01,3,"ACM4, ITGB1, Enkephalin A",
1092,Regulation of degradation of deltaF508-CFTR in CF,39,4.325E-01,5.741E-01,4.543E-01,5.741E-01,3,"BAG-2, Dynein 1, cytoplasmic, intermediate chains, UCHL1",4.325E-01,5.974E-01,3,"BAG-2, Dynein 1, cytoplasmic, intermediate chains, UCHL1",
1093,Role of iNKT and B cells in T cell recruitment in allergic contact dermatitis,39,4.325E-01,5.741E-01,4.543E-01,5.741E-01,3,"alpha-4/beta-1 integrin, ICAM1, CD1d",4.325E-01,5.974E-01,3,"alpha-4/beta-1 integrin, ICAM1, CD1d",
1094,"VLDL, LDL dyslipidemia in type 2 diabetes and metabolic syndrome X",39,4.325E-01,5.741E-01,4.543E-01,5.741E-01,3,"Biglycan proteoglycan, Versican proteoglycan, MSR1",4.325E-01,5.974E-01,3,"Biglycan proteoglycan, Versican proteoglycan, MSR1",
1095,Nicotine signaling in GABAergic neurons,39,4.325E-01,5.741E-01,4.543E-01,5.741E-01,3,"GABA-A receptor, GAT1, G-protein alpha-i family",4.325E-01,5.974E-01,3,"GABA-A receptor, GAT1, G-protein alpha-i family",
1096,Neurophysiological process_Long-term depression in cerebellum,53,4.368E-01,5.576E-01,4.368E-01,5.576E-01,4,"PA24A, PKC-alpha, cPLA2, ERK1/2",6.402E-01,7.912E-01,3,"PA24A, PKC-alpha, cPLA2",
1097,IgE-dependent production of pro-inflammatory mediators by neutrophils in asthma,38,4.373E-01,5.576E-01,4.373E-01,5.576E-01,3,"COX-2 (PTGS2), IL-8, ERK1/2",6.869E-01,8.294E-01,2,"COX-2 (PTGS2), IL-8",
1098,Huntingtin-depended transcription deregulation in Huntington's Disease,24,4.387E-01,5.752E-01,4.560E-01,5.752E-01,2,"NGFR(TNFRSF16), Enkephalin A",4.387E-01,6.029E-01,2,"NGFR(TNFRSF16), Enkephalin A",
1099,Transcription_Negative regulation of HIF1A function,69,4.478E-01,5.700E-01,4.478E-01,5.700E-01,5,"FHL3, p14ARF, FHL1 (SLIM1), RUNX3, p53",6.194E-01,7.754E-01,4,"FHL3, p14ARF, FHL1 (SLIM1), RUNX3",
1100,Transcription_Role of heterochromatin protein 1 (HP1) family in transcriptional silencing,40,4.490E-01,5.904E-01,4.711E-01,5.904E-01,3,"HDAC9, MEF2, Cyclin E",4.490E-01,6.139E-01,3,"HDAC9, MEF2, Cyclin E",
1101,Role of Ghrelin in activation eating behavior in obesity,40,4.490E-01,5.904E-01,4.711E-01,5.904E-01,3,"NPY, G-protein alpha-q/11, Adenylate cyclase type VII",4.490E-01,6.139E-01,3,"NPY, G-protein alpha-q/11, Adenylate cyclase type VII",
1102,Neurophysiological process_ACM1 and ACM2 in neuronal membrane polarization,40,4.490E-01,5.904E-01,4.711E-01,5.904E-01,3,"G-protein alpha-i1, PKC-alpha, Kir2.1",4.490E-01,6.139E-01,3,"G-protein alpha-i1, PKC-alpha, Kir2.1",
1103,Androstenedione and testosterone biosynthesis and metabolism p.3,40,4.490E-01,5.904E-01,4.711E-01,5.904E-01,3,"AKR1C3, AKR1C4, AKR1C2",4.490E-01,6.139E-01,3,"AKR1C3, AKR1C4, AKR1C2",
1104,Development_FGFR signaling pathway,54,4.512E-01,5.732E-01,4.512E-01,5.732E-01,4,"PI3K cat class IA, FGF2, AKT(PKB), ERK1/2",6.528E-01,8.012E-01,3,"PI3K cat class IA, FGF2, AKT(PKB)",
1105,Deregulation of Ca2+-dependent neuronal cell survival in Huntington's disease,39,4.543E-01,5.741E-01,4.543E-01,5.741E-01,3,"Beta-catenin, PI3K cat class IA, AKT(PKB)",7.007E-01,8.364E-01,2,"PI3K cat class IA, AKT(PKB)",
1106,Development_Signaling of Beta-adrenergic receptors via Beta-arrestins,24,4.560E-01,5.752E-01,4.560E-01,5.752E-01,2,"Beta-2 adrenergic receptor, ERK1/2",7.819E-01,8.899E-01,1,Beta-2 adrenergic receptor,
1107,Putative pathways of activation of monoclonal protein secretion in multiple myeloma,25,4.598E-01,5.963E-01,4.774E-01,5.963E-01,2,"BOB1, BLIMP1 (PRDI-BF1)",4.598E-01,6.237E-01,2,"BOB1, BLIMP1 (PRDI-BF1)",
1108,Gamma-secretase regulation of gastrointestinal epithelial cell development,25,4.598E-01,5.963E-01,4.774E-01,5.963E-01,2,"Jagged1, PAX6",4.598E-01,6.237E-01,2,"Jagged1, PAX6",
1109,Putative pathways of hormone action in neurofibromatosis type 1,25,4.598E-01,5.963E-01,4.774E-01,5.963E-01,2,"EGR2 (Krox20), PI3K cat class IA",4.598E-01,6.237E-01,2,"EGR2 (Krox20), PI3K cat class IA",
1110,Th2-cytokine-induced airway epithelium mucous metaplasia in COPD,70,4.604E-01,5.801E-01,4.604E-01,5.801E-01,5,"Actin cytoskeletal, iNOS, Adenosine A2b receptor, G-protein alpha-q/11, ERK1/2",8.125E-01,9.100E-01,3,"iNOS, Adenosine A2b receptor, G-protein alpha-q/11",
